 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,"Hormigas enviadas",Media,Varianza
10.1.1.2,0,0,12,3,25,31,39,32,51,83,98,88,114,131,186,151,220,166,231,220,218,218,216,219,153,157,104,100,96,82,84,36,35,23,3,7,0,0,6,0,3638,1.5738,6.42852
10.1.2.2,0,0,0,0,20,26,34,42,50,38,118,117,139,112,204,166,199,203,161,230,211,190,193,173,232,132,134,132,49,109,52,48,41,44,5,5,6,0,18,0,3633,1.4334,4.03983
10.1.3.2,0,0,0,17,8,20,13,14,47,55,87,53,115,176,159,228,168,163,205,240,254,224,214,186,166,158,97,118,99,76,66,59,56,26,12,32,15,6,4,0,3636,1.57677,6.22998
10.1.4.2,4,6,0,0,4,16,39,58,74,67,87,115,129,157,158,214,220,220,238,236,141,194,203,173,158,180,136,147,86,66,41,28,26,33,28,6,13,8,4,0,3713,1.55427,6.25915
10.1.5.2,0,6,4,17,0,29,15,50,66,31,90,92,143,142,155,156,203,214,177,274,277,214,197,198,163,174,166,119,95,76,38,32,23,20,11,14,3,0,16,0,3700,1.49751,4.56817
10.1.6.2,6,5,0,17,5,0,23,41,40,48,93,85,149,158,150,204,232,207,214,251,241,232,188,177,181,173,126,105,93,54,28,63,46,12,6,16,0,0,3,0,3672,1.55241,5.43632
10.1.7.2,6,10,9,7,9,17,0,48,45,108,72,96,135,210,168,113,228,219,229,207,211,216,206,229,155,162,139,103,114,84,58,27,22,21,11,4,5,16,4,0,3723,1.5295,4.73661
10.1.8.2,0,0,0,14,25,11,32,0,48,90,81,124,131,114,219,239,196,174,206,195,229,247,165,155,164,100,223,109,93,81,70,51,33,14,20,6,10,0,0,0,3669,1.47349,4.56206
10.1.9.2,8,0,4,3,16,24,42,24,0,62,101,88,148,223,188,164,183,246,215,239,250,170,207,156,163,151,123,100,84,78,63,59,39,15,33,17,3,0,0,0,3689,1.50282,4.455
10.1.10.2,0,4,10,18,37,13,31,43,45,0,60,85,133,136,146,199,192,248,210,291,250,267,196,161,172,177,151,84,62,95,42,46,33,20,25,4,17,0,0,0,3703,1.50605,4.58552
10.1.11.2,5,8,0,12,20,32,26,51,90,59,0,101,79,164,134,167,254,259,233,254,258,212,287,188,179,138,128,80,97,65,31,31,35,40,3,17,17,5,6,0,3765,1.50482,5.38742
10.1.12.2,0,7,3,7,23,27,14,32,33,52,111,0,155,152,132,223,200,289,246,235,227,185,168,194,176,180,103,104,72,80,73,47,41,18,18,11,7,6,0,0,3651,1.68511,9.46196
