 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,"Hormigas enviadas",Media,Varianza
10.1.1.2,0,3,4,14,6,58,35,36,55,57,67,98,177,143,134,195,268,212,239,174,192,182,224,173,173,157,113,119,109,61,62,35,17,35,11,9,0,4,3,0,3654,1.49021,4.39221
10.1.2.2,4,0,3,32,9,24,21,47,45,75,40,87,127,175,163,170,226,206,194,210,245,235,183,168,205,173,105,108,99,72,48,39,48,38,33,0,0,0,6,0,3663,1.47206,4.44931
10.1.3.2,0,3,0,21,15,0,10,59,60,42,57,133,156,118,122,218,228,176,239,259,208,316,236,133,147,133,123,98,92,58,40,43,34,27,27,4,8,5,0,0,3648,1.56379,6.58298
10.1.4.2,0,0,3,0,25,47,20,107,35,44,91,86,166,169,183,175,180,214,234,237,214,213,203,190,193,110,123,113,141,60,31,23,13,7,18,19,0,0,0,0,3687,1.59403,6.42415
10.1.5.2,6,3,6,30,0,23,32,32,62,55,82,128,138,160,135,192,203,192,294,259,170,191,227,186,205,127,127,118,75,52,52,56,36,27,9,20,4,0,0,0,3714,1.68479,9.43719
10.1.6.2,7,0,21,20,16,0,31,43,77,76,75,105,117,100,137,233,200,203,227,265,226,202,254,130,166,167,118,89,144,66,55,59,32,20,4,4,5,11,4,0,3709,1.52185,5.66102
10.1.7.2,3,0,6,7,23,11,0,32,80,82,107,94,109,155,133,183,137,198,208,287,220,224,202,277,158,138,117,141,87,77,46,42,29,32,9,3,5,3,5,0,3670,1.66976,9.14924
10.1.8.2,4,0,0,25,22,23,26,0,51,92,77,80,110,134,168,188,228,259,234,237,205,238,226,216,149,173,126,124,73,67,46,33,34,18,14,0,10,3,4,0,3717,1.65989,8.48302
10.1.9.2,6,0,5,11,26,37,29,31,0,70,77,147,159,123,161,151,177,211,290,238,213,289,151,170,226,122,127,104,71,87,28,52,41,12,10,12,11,4,0,0,3679,1.46857,3.74369
10.1.10.2,5,15,4,8,14,25,43,48,66,0,87,101,124,130,170,191,222,200,213,211,202,198,293,170,180,109,156,115,73,54,73,65,36,45,27,5,0,12,13,0,3703,1.45819,3.66986
10.1.11.2,4,0,12,0,13,47,34,53,37,80,0,132,140,134,179,190,212,204,251,214,224,221,198,188,213,116,97,88,73,63,57,22,44,25,22,28,20,8,10,0,3653,1.60292,6.71403
10.1.12.2,5,15,5,6,22,26,19,62,45,47,99,0,112,129,138,210,226,216,260,212,334,258,167,145,140,149,105,108,108,80,84,48,14,21,21,12,29,8,3,0,3688,1.55064,6.03179
10.1.13.2,0,4,11,18,44,16,18,26,77,46,81,112,0,178,196,177,249,224,235,250,221,240,177,205,192,89,120,108,121,42,72,42,27,30,20,13,9,6,0,0,3696,1.57311,6.20287
10.1.14.2,0,0,11,8,10,14,42,22,49,71,124,95,137,0,198,253,210,264,222,139,217,270,212,207,206,146,132,136,85,69,83,51,42,0,8,7,5,3,4,0,3752,1.51333,5.54705
10.1.15.2,8,9,13,5,18,17,34,31,79,71,102,117,104,157,0,161,200,215,231,256,244,241,175,239,136,144,165,106,81,78,102,77,35,31,23,14,16,3,4,0,3742,1.52797,4.9425
10.1.16.2,0,4,10,13,20,32,62,53,58,90,74,97,137,186,165,0,244,226,280,264,245,186,237,194,177,136,128,91,75,61,48,37,30,18,16,26,10,0,5,0,3735,1.54929,5.51133
10.1.17.2,0,10,15,0,16,16,36,91,24,75,123,130,131,135,148,128,0,257,234,236,225,267,255,179,179,138,136,101,105,118,54,37,38,29,20,13,9,6,3,0,3717,1.68403,8.71413
10.1.18.2,0,0,3,6,5,15,15,35,77,86,107,85,137,156,191,283,246,0,223,209,286,220,219,263,184,107,116,107,106,42,52,48,28,24,7,9,6,3,6,0,3712,1.69359,7.84602
10.1.19.2,5,11,23,9,29,22,58,34,57,72,102,106,139,155,206,194,228,212,0,257,260,129,217,204,142,187,145,107,88,59,96,70,30,43,10,0,10,5,0,0,3721,1.79464,10.6261
10.1.20.2,0,8,8,7,0,28,20,53,83,93,119,127,158,141,195,175,202,168,179,0,197,268,200,210,206,151,118,123,129,79,82,68,36,22,30,7,6,9,5,0,3710,1.69049,9.22598
10.1.21.2,0,12,4,11,17,45,46,20,73,52,117,170,84,113,161,220,170,258,247,300,0,250,237,200,155,205,116,119,49,75,62,76,42,21,13,6,9,6,6,0,3767,1.87988,12.6751
10.1.22.2,0,0,8,4,19,24,36,34,36,94,60,127,186,184,197,213,235,221,292,219,198,0,195,228,174,186,129,93,60,51,74,59,41,27,13,13,6,0,0,0,3736,1.89158,14.2066
10.1.23.2,0,6,9,17,19,22,29,66,37,89,124,117,148,174,173,177,202,208,215,220,261,291,0,169,173,105,142,94,97,48,57,57,28,20,14,6,4,18,0,0,3636,1.82783,12.114
10.1.24.2,0,4,5,9,28,0,30,53,55,62,81,141,151,163,190,225,171,237,231,277,234,245,233,0,159,146,109,90,72,57,38,38,62,44,6,17,5,0,0,0,3668,1.89837,13.0553
10.1.25.2,0,21,15,15,22,20,33,26,62,88,97,116,129,141,146,198,216,201,214,208,247,252,203,204,0,132,166,176,100,76,51,38,47,17,3,6,11,0,5,0,3702,1.45876,3.70794
