 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,"Hormigas enviadas",Media,Varianza
10.1.1.2,0,0,14,0,28,16,36,27,28,78,102,148,62,166,176,160,179,224,193,255,200,248,208,167,152,175,152,138,78,65,57,56,21,13,19,3,18,4,6,0,3672,1.62913,7.62013
10.1.2.2,0,0,15,19,0,6,39,31,19,86,109,127,151,168,179,221,179,220,212,253,185,216,216,220,131,158,181,98,50,76,88,49,16,21,11,3,0,4,12,0,3769,1.60339,7.45854
10.1.3.2,0,8,0,0,5,21,50,47,15,38,99,120,133,125,168,218,225,305,204,255,224,212,185,231,164,124,82,140,84,46,58,22,44,10,3,11,4,0,5,0,3685,1.6305,7.93036
10.1.4.2,0,0,13,0,12,12,22,52,42,46,96,105,131,115,179,173,190,219,205,225,260,220,160,173,220,167,139,131,122,86,41,65,34,0,10,34,12,4,10,0,3725,1.46588,3.04312
10.1.5.2,3,0,15,6,0,23,24,31,47,48,131,97,104,153,157,224,265,229,243,295,238,166,192,160,151,191,90,130,94,70,38,27,26,8,0,17,8,5,0,0,3706,1.547,5.27571
10.1.6.2,0,5,10,7,12,0,33,67,75,50,123,116,145,122,117,168,235,277,195,195,262,211,179,218,150,124,109,135,113,55,56,38,32,32,23,6,8,0,0,0,3703,1.54769,6.2501
10.1.7.2,0,0,12,11,18,17,0,9,37,60,70,100,157,95,201,165,216,211,241,206,221,261,236,212,147,158,130,198,66,40,48,38,22,38,22,10,3,10,0,0,3686,1.6192,7.63721
10.1.8.2,0,3,3,11,29,10,18,0,57,51,114,100,140,155,215,198,228,232,239,198,222,227,229,190,179,118,135,100,70,65,61,72,15,19,29,9,9,0,0,0,3750,1.5286,5.05918
10.1.9.2,3,0,3,20,42,20,21,47,0,63,90,144,124,128,163,180,182,259,249,185,205,247,191,235,142,159,155,107,128,58,40,45,11,35,13,11,6,0,0,0,3711,1.51615,5.34397
10.1.10.2,0,4,23,12,14,26,27,31,56,0,117,60,150,176,154,203,172,221,244,298,246,167,241,161,179,96,128,85,70,61,65,66,39,25,16,15,3,10,0,0,3661,1.53191,5.43502
10.1.11.2,0,0,8,3,20,14,11,47,73,102,0,87,163,141,198,208,219,208,180,208,294,203,230,202,150,161,116,140,64,89,42,27,48,26,9,0,10,0,0,0,3701,1.57184,6.12313
10.1.12.2,0,0,9,0,19,31,14,27,64,59,120,0,121,164,161,180,244,208,259,274,216,210,198,187,190,188,102,147,78,63,56,71,35,32,18,5,9,0,0,0,3759,1.63926,7.95908
10.1.13.2,5,0,4,10,15,32,28,60,68,69,89,112,0,128,181,187,181,237,232,244,193,247,256,193,170,134,165,77,86,91,47,49,15,3,17,3,8,8,10,0,3654,1.53059,5.11939
10.1.14.2,0,3,12,14,22,31,45,28,58,62,86,92,134,0,141,191,234,241,230,256,265,219,224,147,192,161,98,78,77,70,63,60,6,35,19,16,8,0,3,0,3621,1.63668,7.59022
10.1.15.2,0,11,0,20,12,9,39,54,48,55,84,139,119,179,0,245,182,278,224,294,256,148,192,198,142,147,144,101,121,62,56,63,9,25,28,6,0,3,0,0,3693,1.59225,6.79123
10.1.16.2,14,0,0,15,20,18,37,54,64,88,93,107,174,192,172,0,233,244,241,193,252,193,204,190,170,187,158,102,86,85,44,21,54,18,9,10,11,0,5,0,3758,1.67271,9.01578
