 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,"Hormigas enviadas",Media,Varianza
10.1.1.2,0,17,0,13,31,5,49,42,79,106,101,114,145,141,128,201,188,220,191,223,197,189,204,209,149,181,121,105,87,58,103,35,38,19,18,8,6,6,0,0,3727,1.52478,5.21139
10.1.2.2,0,0,11,11,18,31,26,39,28,60,105,90,120,214,141,238,169,257,252,216,263,180,190,185,154,72,193,110,71,74,43,34,49,16,4,14,3,16,3,0,3700,1.40359,2.59166
10.1.3.2,0,0,0,14,27,15,37,38,50,43,75,100,69,182,174,208,197,191,250,224,270,222,227,175,163,132,180,131,69,78,53,23,23,15,20,6,5,3,0,0,3689,1.44309,2.68539
10.1.4.2,0,5,9,0,17,21,51,34,91,76,96,96,109,177,177,207,220,194,205,231,218,201,176,166,178,173,134,111,78,49,55,15,53,24,17,10,4,6,0,0,3684,1.69291,8.92523
10.1.5.2,5,0,13,6,0,27,43,38,39,113,79,117,180,141,165,167,239,280,227,253,224,265,187,141,145,149,104,100,86,56,30,60,28,32,4,10,8,6,9,0,3776,1.64877,8.61377
10.1.6.2,8,16,9,9,30,0,43,37,51,73,93,93,117,168,142,198,181,164,214,203,254,276,204,212,153,187,150,91,89,64,61,39,22,23,11,9,13,0,6,0,3713,1.49052,4.13595
10.1.7.2,0,6,8,7,5,19,0,44,43,63,91,92,121,209,154,207,245,224,307,180,176,220,253,200,165,124,137,95,118,81,47,52,15,14,3,15,8,0,6,0,3754,1.54036,5.26964
10.1.8.2,0,0,14,6,35,10,23,0,35,75,89,103,141,140,170,171,178,250,263,235,161,230,211,188,152,161,146,74,109,104,89,72,18,22,7,15,12,5,0,0,3714,1.53463,5.45449
10.1.9.2,4,9,3,21,6,12,24,46,0,91,104,126,114,154,153,213,137,214,216,256,256,207,251,195,173,161,117,87,85,41,57,60,29,17,5,35,5,3,0,0,3687,1.59662,6.98995
10.1.10.2,6,4,0,0,0,20,6,31,62,0,75,109,114,179,207,245,166,214,228,250,233,250,158,220,143,243,104,127,88,49,43,40,39,24,24,12,0,0,12,0,3725,1.57076,6.18752
10.1.11.2,21,0,5,5,22,13,16,44,74,66,0,147,95,129,142,202,209,250,285,238,212,222,179,263,119,185,108,97,97,55,60,53,23,12,4,16,19,3,5,0,3695,1.69665,8.78819
10.1.12.2,0,7,0,17,17,15,25,45,56,97,90,0,110,139,171,193,243,265,241,233,220,219,246,163,203,93,159,150,48,46,69,57,28,25,5,5,19,0,0,0,3719,1.70284,9.18974
10.1.13.2,0,6,0,7,20,18,37,58,58,103,132,114,0,178,195,192,206,207,274,219,219,198,245,146,141,184,142,108,77,73,59,47,25,6,33,9,5,4,0,0,3745,1.46507,3.86855
10.1.14.2,0,0,7,5,19,15,49,41,47,90,85,110,92,0,177,239,234,213,247,275,266,202,224,196,209,144,104,106,87,65,50,46,23,15,12,0,0,0,3,0,3697,1.48195,4.54863
10.1.15.2,0,5,14,12,10,22,46,64,62,68,90,153,134,152,0,246,211,216,267,231,235,207,170,151,185,136,141,140,67,75,73,51,14,21,13,4,14,3,5,0,3708,1.54452,5.86056
