 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,"Hormigas enviadas",Media,Varianza
10.1.1.2,0,8,0,16,13,33,46,35,42,65,88,126,123,168,166,202,172,185,223,218,205,266,238,175,158,117,93,168,82,53,31,56,37,26,40,22,10,0,0,0,3706,1.59283,6.9162
10.1.2.2,0,0,3,9,40,5,12,61,33,73,82,117,127,153,165,217,214,201,243,252,221,251,192,168,156,222,105,107,70,55,48,16,27,30,19,24,7,0,3,0,3728,1.66038,8.92035
10.1.3.2,0,6,0,10,18,9,53,27,79,55,83,57,165,183,162,260,223,208,194,178,245,145,242,215,166,138,124,104,88,59,68,38,25,33,8,30,0,6,0,0,3704,1.62916,8.06095
10.1.4.2,0,6,5,0,24,36,36,27,53,39,82,129,136,190,138,152,192,198,214,234,211,279,225,211,164,221,113,82,137,52,61,15,21,20,23,5,3,9,3,0,3746,1.58104,6.31748
10.1.5.2,11,0,0,17,0,23,44,62,51,72,68,98,117,103,200,172,230,265,251,208,204,271,175,199,163,156,113,115,94,78,46,54,33,8,18,6,9,0,0,0,3734,1.58454,6.30512
10.1.6.2,0,0,7,9,9,0,51,45,46,53,94,124,132,139,198,233,227,189,165,242,186,203,163,190,201,116,117,114,88,133,78,30,12,23,26,20,12,3,6,0,3684,1.40213,2.69717
10.1.7.2,3,6,0,12,31,26,0,30,58,102,89,105,72,128,159,173,194,250,204,231,188,186,215,301,132,142,158,109,107,83,79,30,36,32,24,5,0,0,7,0,3707,1.44698,3.21701
10.1.8.2,8,4,0,3,11,43,27,0,51,76,97,100,156,114,202,176,250,189,247,219,232,250,196,233,163,127,179,91,62,59,58,25,39,17,15,3,0,0,0,0,3722,1.50485,4.99103
10.1.9.2,5,6,15,18,25,20,32,33,0,33,104,119,125,125,191,213,251,241,277,186,236,199,187,160,215,197,143,72,67,56,74,54,15,10,18,8,3,0,3,0,3736,1.48917,4.46039
10.1.10.2,3,10,8,16,32,17,23,64,62,0,97,73,88,202,158,174,198,254,229,167,227,232,224,259,143,189,148,127,76,40,33,26,26,22,20,16,10,10,0,0,3703,1.50682,4.67295
10.1.11.2,0,0,0,0,3,14,47,35,46,42,0,122,146,187,230,190,243,236,194,221,230,218,178,194,143,141,135,95,110,66,67,45,38,27,11,16,4,10,0,0,3684,1.5477,5.24383
10.1.12.2,0,4,6,5,26,9,14,42,60,76,64,0,133,122,199,163,198,213,281,253,243,266,201,211,201,129,92,112,111,56,59,22,22,46,28,5,4,10,0,0,3686,1.63537,7.72551
10.1.13.2,5,3,4,6,11,29,37,54,45,50,98,113,0,171,203,152,169,239,298,189,277,269,206,228,220,112,147,77,97,65,17,57,44,12,21,12,10,3,0,0,3750,1.46495,4.21645
