 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,"Hormigas enviadas",Media,Varianza
10.1.1.2,0,0,15,0,39,24,49,37,43,57,90,100,145,98,165,190,239,241,196,230,230,250,185,180,184,164,91,109,87,105,56,46,32,18,12,9,4,5,0,0,3725,1.64525,8.45126
10.1.2.2,0,0,6,3,22,24,4,27,62,44,89,70,104,178,215,207,222,258,155,247,223,200,214,157,185,156,136,104,60,105,34,62,30,10,32,8,0,0,6,0,3659,1.5433,6.31849
10.1.3.2,0,9,0,18,28,29,36,41,48,76,95,114,119,154,160,227,209,119,246,260,208,165,171,212,160,209,123,122,83,63,71,53,23,32,19,0,4,5,0,0,3711,1.52435,5.62797
10.1.4.2,0,7,25,0,10,24,40,13,45,69,96,124,79,108,178,148,188,208,199,259,198,220,252,288,239,175,108,130,95,46,39,30,35,19,18,14,6,8,3,0,3743,1.65013,8.84574
10.1.5.2,12,0,3,15,0,10,29,72,55,86,86,97,177,145,187,217,174,242,159,188,191,231,226,182,167,147,163,113,100,97,50,47,13,5,19,13,0,0,16,0,3734,1.39742,2.75905
10.1.6.2,5,5,12,21,12,0,29,50,54,50,133,103,121,176,184,201,155,250,153,207,226,260,163,139,202,163,110,136,68,84,77,52,33,35,20,7,0,3,5,0,3704,1.53248,6.32677
10.1.7.2,4,7,3,3,24,15,0,54,42,72,98,97,128,115,191,201,231,240,277,215,202,285,210,232,144,143,94,106,95,42,53,26,29,12,20,7,4,0,5,0,3726,1.55572,6.07763
10.1.8.2,9,6,10,3,13,17,30,0,51,52,66,90,112,210,167,275,261,224,201,252,198,257,232,171,129,133,105,109,45,69,49,52,37,4,21,12,0,0,9,0,3681,1.70341,9.74326
10.1.9.2,0,5,4,9,43,18,38,42,0,84,72,126,107,138,216,206,246,221,239,249,233,218,219,200,130,149,136,50,70,77,41,60,29,28,21,0,3,3,9,0,3739,1.45386,3.70941
10.1.10.2,0,10,10,10,10,5,51,42,44,0,112,144,116,133,195,197,206,211,255,227,260,252,213,140,180,118,131,104,49,83,41,29,42,41,18,5,0,3,4,0,3691,1.4843,4.77555
10.1.11.2,0,0,3,11,8,21,38,63,46,70,0,153,137,182,191,170,217,256,240,248,225,282,177,178,173,150,101,82,66,61,47,58,16,28,24,3,10,3,6,0,3744,1.51144,6.11024
10.1.12.2,6,0,7,11,8,29,48,52,41,57,85,0,123,140,235,208,125,213,280,228,202,218,230,245,176,161,129,68,76,62,55,38,30,25,9,13,9,14,0,0,3656,1.65064,8.219
10.1.13.2,0,3,4,10,7,21,26,58,80,56,57,134,0,125,149,147,247,195,227,285,186,241,224,141,175,173,144,93,72,107,73,41,50,26,26,16,21,5,3,0,3648,1.50619,4.91432
10.1.14.2,3,5,7,18,23,6,51,44,37,117,101,126,117,0,212,159,227,184,211,243,229,157,193,278,192,161,168,109,105,42,53,24,50,11,15,19,14,0,9,0,3720,1.53717,5.54725
10.1.15.2,0,4,6,8,11,12,38,38,68,78,115,74,98,137,0,207,183,231,199,252,187,276,170,222,280,182,129,98,84,46,67,37,38,28,19,14,6,18,4,0,3664,1.56705,6.18481
10.1.16.2,0,8,13,10,16,7,36,58,47,79,141,116,104,139,171,0,209,213,294,242,259,170,216,212,204,160,130,127,71,90,50,12,30,43,5,20,10,4,11,0,3727,1.52786,5.24939
10.1.17.2,0,5,12,15,27,32,32,62,48,87,98,83,140,183,202,190,0,281,271,176,220,215,240,206,152,121,121,101,96,83,64,26,34,39,24,20,4,5,4,0,3719,1.80563,11.1147
10.1.18.2,6,0,5,5,7,30,26,42,28,62,75,110,124,176,167,211,222,0,219,251,202,304,256,217,184,132,103,123,73,76,76,43,42,22,20,4,8,6,0,0,3657,1.89527,13.2575
10.1.19.2,0,4,6,3,36,12,47,57,41,95,99,94,106,138,186,216,215,243,0,235,215,242,199,167,222,124,174,156,98,104,38,28,23,16,25,11,6,4,0,0,3685,1.79778,10.9896
10.1.20.2,8,12,0,0,10,12,48,28,49,58,98,114,149,182,171,221,221,222,208,0,226,256,281,220,173,170,98,107,103,68,53,79,24,20,20,5,10,0,0,0,3724,1.90732,13.7647
10.1.21.2,8,10,13,17,33,13,47,72,40,42,87,102,181,151,204,185,217,219,225,221,0,232,229,184,172,140,163,124,103,80,47,40,38,13,15,12,9,0,0,0,3688,1.86544,12.827
10.1.22.2,0,11,3,23,24,10,38,52,12,67,103,148,142,116,138,224,250,213,252,234,267,0,225,259,178,147,146,137,97,66,51,29,18,20,5,27,11,4,0,0,3747,1.87796,12.6963
10.1.23.2,6,11,3,26,13,25,26,45,55,71,79,110,150,122,197,189,225,254,239,254,248,204,0,160,234,145,154,93,101,75,68,32,32,29,9,0,22,5,6,0,3717,1.79115,11.1333
10.1.24.2,3,0,9,10,14,16,29,30,52,66,113,77,116,138,162,196,181,162,238,277,222,248,288,0,245,153,162,119,107,79,25,65,39,15,27,34,9,0,0,0,3726,1.76315,9.96332
10.1.25.2,4,0,15,12,9,18,21,48,51,33,110,94,163,144,140,233,211,263,193,195,227,239,236,220,0,181,113,105,76,107,65,54,34,28,4,19,14,0,0,0,3679,1.52813,4.3883
10.1.26.2,0,5,0,6,34,49,50,42,51,59,67,149,115,146,216,197,211,254,233,224,212,205,226,223,134,0,94,92,83,66,66,18,27,20,14,8,29,18,4,0,3647,1.62356,7.71564
10.1.27.2,13,3,8,8,22,19,54,24,47,40,97,107,128,181,127,162,217,235,249,206,257,228,285,187,152,208,0,111,67,45,40,41,24,38,9,19,12,0,0,0,3670,1.53497,4.74848
10.1.28.2,0,0,15,5,6,30,50,34,42,78,72,111,130,172,181,224,181,239,277,237,209,315,243,124,148,126,149,0,76,41,31,22,53,23,17,9,10,0,0,0,3680,1.60317,7.08634
10.1.29.2,0,7,3,9,22,11,6,40,86,81,98,99,151,191,131,169,190,223,229,254,213,172,217,228,161,174,116,157,0,77,50,69,20,9,15,16,9,3,10,0,3716,1.52232,5.03765
10.1.30.2,0,6,0,10,6,19,26,32,56,58,82,82,124,201,216,170,165,215,193,276,276,261,233,176,152,130,80,116,113,0,79,63,11,41,8,16,8,15,7,0,3722,1.61388,7.45688
10.1.31.2,3,0,10,0,40,9,25,46,45,72,84,94,164,185,207,238,230,181,277,223,189,213,182,154,240,114,138,112,48,40,0,39,21,19,19,9,9,11,3,0,3693,1.62039,6.01977
10.1.32.2,0,0,5,14,45,24,24,47,52,84,67,154,139,148,173,187,207,231,242,214,230,180,202,176,178,175,155,104,94,46,44,0,13,9,11,6,10,0,0,0,3690,1.50185,4.43895
10.1.33.2,4,9,15,19,7,8,27,35,57,88,86,102,147,162,152,196,242,220,212,226,215,169,155,192,238,158,79,111,57,70,87,68,0,19,6,8,8,5,3,0,3662,1.73258,8.51814
10.1.34.2,0,4,11,13,22,20,19,58,78,78,80,107,126,145,190,153,170,269,275,248,151,257,190,159,145,124,121,110,83,69,36,71,27,0,19,14,9,6,3,0,3660,1.94574,13.4616
10.1.35.2,0,0,10,4,11,37,13,33,77,52,122,132,119,177,224,185,206,217,238,208,214,217,182,198,194,110,83,89,86,69,43,69,25,34,0,12,7,3,6,0,3706,1.86176,11.3878
10.1.36.2,0,4,11,18,22,17,39,52,66,55,78,110,118,176,174,161,135,211,205,264,267,267,184,217,149,122,152,100,143,76,36,48,19,22,7,0,6,22,0,0,3753,1.91066,12.6018
10.1.37.2,0,9,15,4,28,43,57,57,78,65,84,99,139,128,160,198,255,166,210,262,256,205,239,170,122,133,146,96,51,74,76,21,26,24,14,17,0,0,3,0,3730,2.08417,15.2556
10.1.38.2,0,0,6,8,24,29,44,41,78,53,78,117,180,154,139,194,170,200,226,215,207,207,219,158,200,169,106,106,57,84,66,18,37,25,5,18,9,0,4,0,3651,2.00434,14.3962
10.1.39.2,4,0,6,15,17,23,27,37,55,61,96,129,112,163,186,170,216,198,206,222,259,215,187,218,166,159,178,55,67,69,84,40,35,25,18,11,6,6,0,0,3741,1.93924,12.7064
10.1.40.2,6,15,6,14,25,17,27,40,56,92,71,151,167,166,198,161,178,216,205,256,223,241,146,176,153,152,105,91,84,76,45,44,33,11,39,5,0,16,6,0,3713,1.93367,13.4924
"Total de hormigas enviadas",148048
"Suma de las medias de los tiempos",67.4547
"Media de las medias de los tiempos",1.68637
"Varianza de las varianzas de los tiempos",12.2243
