 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,"Hormigas enviadas",Media,Varianza
10.1.29.2,10,0,15,9,3,27,17,49,25,102,62,126,165,155,168,178,245,224,206,294,151,310,196,162,160,151,99,112,0,88,43,20,34,22,7,11,21,3,0,0,3670,1.5177,5.18106
10.1.30.2,0,0,8,15,10,45,33,73,50,79,107,118,132,147,139,184,203,192,181,151,258,252,205,183,146,167,173,91,144,0,52,38,23,41,19,9,21,10,6,0,3705,1.61979,7.14619
10.1.31.2,6,8,16,13,16,15,25,46,53,66,58,82,125,151,220,231,179,252,220,215,166,253,194,185,190,155,109,66,123,58,0,67,17,29,17,18,16,0,4,0,3664,1.46173,4.30723
10.1.32.2,0,6,14,9,17,29,58,57,57,75,104,112,153,202,137,246,189,174,267,192,182,214,198,190,142,220,110,84,72,79,43,0,27,27,31,5,5,0,5,0,3732,1.59637,6.84317
10.1.33.2,4,10,5,25,15,24,29,52,38,70,80,127,171,105,148,190,209,198,197,216,250,234,229,184,171,119,97,122,93,62,70,43,0,41,16,11,0,4,6,0,3665,1.7515,9.2472
10.1.34.2,9,9,5,3,16,4,40,45,60,85,94,124,126,165,152,196,235,210,170,266,254,191,179,221,138,152,124,132,83,48,69,15,22,0,16,9,0,7,6,0,3680,1.90769,12.4911
10.1.35.2,0,0,13,8,11,31,30,34,91,68,92,84,130,146,145,200,160,252,283,271,233,236,156,214,145,146,109,135,96,53,42,52,13,33,0,9,0,0,0,0,3721,1.95978,12.807
10.1.36.2,3,7,9,14,10,28,16,48,67,95,91,92,155,121,195,171,169,216,236,262,190,255,204,230,189,125,146,78,103,32,52,56,36,15,6,0,8,3,4,0,3737,1.90792,10.9505
10.1.37.2,6,3,11,0,27,4,30,44,28,64,34,120,123,140,176,193,249,196,241,262,244,207,245,193,150,148,96,140,69,56,66,22,27,23,31,6,0,11,0,0,3685,2.05342,15.8579
10.1.38.2,0,0,4,8,19,18,28,27,56,57,114,110,151,127,155,175,233,250,203,237,222,236,203,247,159,135,93,124,80,85,37,37,50,19,23,5,4,0,11,0,3742,1.83755,10.3512
10.1.39.2,5,16,5,11,8,35,44,26,53,58,105,93,151,90,204,183,150,243,229,177,210,208,221,244,154,176,134,85,75,85,55,54,35,21,29,22,11,4,0,0,3709,1.88221,11.5559
10.1.40.2,4,3,16,25,13,14,33,10,67,51,85,108,118,101,184,164,219,229,227,241,236,236,192,174,183,164,148,122,72,38,67,38,27,35,21,13,17,0,0,0,3695,1.71146,8.56426
"Total de hormigas enviadas",148033
"Suma de las medias de los tiempos",66.7441
"Media de las medias de los tiempos",1.6686
"Varianza de las varianzas de los tiempos",9.28969
