 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,"Hormigas enviadas",Media,Varianza
10.1.1.2,0,6,3,32,19,32,30,31,46,82,96,94,133,121,156,163,170,212,220,252,201,278,232,172,128,179,116,143,98,85,61,48,29,20,22,9,0,0,8,0,3727,1.17937,0.00646699
10.1.2.2,0,0,6,15,18,30,26,38,49,69,103,134,146,171,163,207,218,156,245,238,279,228,192,158,126,130,101,82,113,38,31,64,16,32,11,3,13,4,0,0,3653,1.17556,0.00638573
10.1.3.2,0,0,0,18,12,28,22,47,85,62,86,126,157,149,168,142,228,258,217,254,174,198,263,185,176,123,140,88,74,65,71,50,12,22,6,9,9,0,6,0,3730,1.18052,0.00631197
10.1.4.2,3,0,0,0,23,21,18,35,63,94,96,102,116,147,210,211,177,201,141,204,247,254,221,192,199,183,113,106,69,78,55,38,29,23,13,14,0,3,0,0,3699,1.17635,0.00632604
10.1.5.2,0,13,0,16,0,31,23,32,61,83,94,93,134,84,192,192,144,228,263,266,249,189,224,170,143,183,163,97,92,36,78,28,38,53,25,14,0,6,0,0,3737,1.17683,0.00646508
10.1.6.2,0,0,10,8,7,0,21,39,42,78,88,122,149,89,157,191,200,222,211,285,221,218,197,213,176,106,140,133,72,67,64,48,41,18,3,17,3,6,0,0,3662,1.17885,0.00602918
10.1.7.2,0,3,3,9,11,36,0,38,52,79,68,92,67,168,171,179,290,218,212,223,295,268,214,168,131,150,129,96,56,60,45,23,56,11,23,21,4,0,4,0,3673,1.17855,0.00647286
10.1.8.2,0,15,9,5,11,36,24,0,61,62,93,85,90,129,140,219,184,222,190,237,239,211,183,225,159,162,144,144,102,87,58,21,40,35,42,21,17,3,4,0,3709,1.17954,0.00633509
10.1.9.2,7,3,9,5,20,6,32,44,0,85,103,91,131,176,144,152,221,212,234,230,167,158,242,206,183,162,140,108,92,94,77,18,52,29,17,4,23,4,0,0,3681,1.1813,0.00657549
10.1.10.2,0,0,7,15,12,3,35,34,59,0,116,100,105,136,157,132,196,286,210,175,201,216,287,167,191,175,114,120,69,80,54,45,44,21,26,10,9,9,17,0,3633,1.18223,0.00617575
10.1.11.2,0,0,11,9,19,19,28,24,68,43,0,111,113,153,193,156,267,200,217,217,248,182,181,265,193,176,126,164,129,50,29,44,18,37,12,5,4,4,0,0,3715,1.18056,0.00642279
10.1.12.2,0,0,7,14,24,20,43,74,30,59,48,0,127,192,183,195,164,262,294,214,250,180,206,166,196,206,93,100,88,74,74,50,38,22,28,16,9,0,5,0,3751,1.18082,0.00627488
10.1.13.2,0,10,4,10,16,14,30,44,84,71,81,116,0,160,205,209,217,218,250,294,267,146,228,146,153,142,95,121,116,37,46,55,37,13,9,18,3,10,4,0,3679,1.18302,0.00650363
10.1.14.2,0,0,7,9,9,27,26,42,67,82,99,117,152,0,174,122,272,224,214,167,264,201,203,177,209,107,160,116,79,77,48,49,35,38,25,16,10,11,4,0,3639,1.18082,0.0065333
