 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,"Hormigas enviadas",Media,Varianza
10.1.1.2,0,5,28,12,28,31,18,24,35,102,116,105,155,190,201,195,205,174,160,255,172,209,170,156,171,101,130,116,126,99,70,26,23,30,23,21,18,18,0,0,3718,1.17614,0.00640202
10.1.2.2,0,0,8,0,24,16,34,49,35,77,109,150,89,169,247,213,154,173,196,193,172,160,178,139,177,152,137,125,136,87,88,60,9,24,19,11,11,4,3,0,3628,1.17875,0.00641341
10.1.3.2,6,0,0,8,32,18,16,50,76,64,88,103,125,171,191,166,207,197,201,222,185,222,200,172,181,129,176,108,94,88,55,46,34,23,31,12,5,0,0,0,3702,1.17645,0.00642318
10.1.4.2,0,5,8,0,30,21,40,42,86,85,92,78,162,146,174,235,191,274,222,193,241,234,181,143,196,109,128,93,80,33,57,37,32,10,21,8,15,5,10,0,3717,1.1757,0.00605653
10.1.5.2,0,9,5,23,0,24,23,37,91,56,93,98,126,170,157,174,216,201,251,304,210,150,241,209,159,147,106,69,133,50,53,49,28,25,10,7,4,7,9,0,3724,1.1751,0.00623481
10.1.6.2,0,5,0,19,6,0,47,42,40,64,80,88,146,119,181,209,187,207,210,273,191,235,173,194,191,157,193,82,76,75,86,39,28,9,23,4,16,0,0,0,3695,1.18097,0.00603595
10.1.7.2,0,0,10,18,0,24,0,36,36,63,98,74,126,118,123,172,260,214,296,255,263,284,226,188,194,145,102,54,60,78,46,32,31,23,9,13,6,0,5,0,3682,1.18014,0.00627408
10.1.8.2,12,5,4,8,13,24,19,0,57,105,103,122,118,132,207,194,204,167,227,223,204,249,218,170,191,122,138,105,107,54,71,29,24,14,20,8,12,3,0,0,3683,1.17503,0.00666056
10.1.9.2,0,5,0,29,33,18,30,28,0,79,85,97,127,160,167,182,190,204,225,220,233,246,244,158,140,150,120,104,80,84,67,35,46,30,14,16,10,10,0,0,3666,1.18139,0.00627773
10.1.10.2,3,8,17,9,14,16,22,50,45,0,74,144,146,155,141,245,235,177,226,258,208,182,216,163,143,146,155,112,100,52,57,26,18,47,24,12,10,9,5,0,3670,1.18217,0.00626826
10.1.11.2,0,4,0,20,5,44,38,55,50,82,0,152,88,171,224,176,224,201,213,232,203,167,207,192,188,110,137,132,105,88,56,25,25,26,26,7,14,6,3,0,3696,1.18392,0.00651866
10.1.12.2,3,11,0,10,24,26,26,36,65,60,89,0,117,118,159,185,208,291,282,251,217,163,241,161,162,146,156,117,85,95,53,46,33,23,20,3,9,9,10,0,3710,1.18204,0.00654135
10.1.13.2,0,10,6,9,9,25,36,36,79,81,101,81,0,149,178,184,232,175,283,275,185,226,235,207,179,170,122,121,95,36,61,36,38,17,6,4,10,6,0,0,3703,1.17909,0.00674694
10.1.14.2,5,0,7,26,29,19,29,38,57,61,80,132,113,0,182,161,175,289,250,248,239,223,197,210,156,166,127,158,89,55,47,26,33,21,18,5,8,22,4,0,3705,1.18333,0.00636457
10.1.15.2,6,0,11,14,19,32,26,13,65,53,82,103,131,138,0,238,268,214,241,216,264,263,223,169,140,135,190,111,75,79,46,55,42,10,12,5,0,4,11,0,3704,1.1818,0.00646665
10.1.16.2,0,3,11,14,8,21,33,36,45,63,59,119,150,140,212,0,204,299,277,240,215,194,215,230,152,178,115,93,99,65,54,22,33,5,16,9,19,6,5,0,3659,1.18096,0.00632347
10.1.17.2,5,0,0,0,24,15,14,19,83,92,89,117,97,139,162,316,0,186,233,246,239,276,278,221,140,129,126,87,88,71,60,45,32,27,17,7,6,0,0,0,3686,1.18645,0.00626848
10.1.18.2,5,0,0,9,24,20,39,46,49,40,98,115,135,145,237,186,213,0,211,269,178,182,224,205,187,158,129,139,96,84,62,54,33,27,48,6,6,10,3,0,3672,1.18862,0.00646892
10.1.19.2,0,5,3,11,28,23,24,38,46,76,112,105,173,129,218,175,230,238,0,253,243,305,212,201,186,139,112,141,109,48,55,56,8,17,12,15,0,4,5,0,3755,1.1868,0.00667973
10.1.20.2,0,0,9,16,20,10,42,33,47,82,92,86,103,153,196,171,184,180,206,0,276,231,229,231,189,203,151,111,102,54,50,54,23,16,8,20,16,5,0,0,3599,1.18906,0.00643312
10.1.21.2,5,6,11,14,23,27,12,23,65,97,94,116,121,148,142,228,178,200,312,217,0,241,243,195,213,156,126,111,96,87,44,44,65,13,14,16,0,11,3,0,3717,1.18396,0.00640836
10.1.22.2,0,3,8,0,17,6,44,66,84,83,81,157,186,129,164,160,193,287,183,247,238,0,216,161,137,194,108,138,99,87,73,45,32,22,19,7,13,6,7,0,3700,1.18435,0.00619113
