 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,"Hormigas enviadas",Media,Varianza
10.1.1.2,0,5,0,14,4,37,37,59,27,54,99,157,127,162,190,168,218,193,264,242,211,214,153,185,141,132,164,85,100,101,31,33,35,13,9,15,17,3,0,0,3699,1.17911,0.00638141
10.1.2.2,4,0,0,8,28,18,41,45,49,56,77,98,186,159,234,172,220,209,223,205,181,211,193,154,213,199,141,82,89,74,61,40,17,17,12,6,0,0,0,0,3722,1.17718,0.00636503
10.1.3.2,3,6,0,11,12,24,29,49,66,48,113,149,126,159,188,184,274,185,264,199,217,185,213,178,157,168,158,131,71,63,44,17,19,4,16,0,0,0,5,0,3735,1.1765,0.00650362
10.1.4.2,0,3,7,0,18,11,43,75,59,80,92,110,99,139,182,186,152,246,259,240,223,207,177,185,163,142,148,104,109,83,59,38,30,19,4,15,10,6,0,0,3723,1.17923,0.00636745
10.1.5.2,0,5,16,22,0,19,33,51,81,34,155,108,143,147,174,204,142,221,221,203,161,255,236,159,199,142,97,111,77,84,35,61,38,11,19,11,4,5,3,0,3687,1.17367,0.00648834
10.1.6.2,0,0,15,15,13,0,48,42,48,62,97,101,104,153,203,171,235,216,301,196,208,179,218,197,150,193,128,126,95,58,51,32,29,41,22,6,10,0,10,0,3773,1.17691,0.00637082
10.1.7.2,8,0,0,3,10,30,0,33,41,67,90,84,114,121,177,162,210,225,249,191,245,206,229,189,233,237,173,93,79,61,31,21,39,27,22,14,3,0,0,0,3717,1.17712,0.00650752
10.1.8.2,3,0,0,10,4,34,14,0,33,101,119,94,133,125,171,234,211,187,219,280,206,253,236,166,169,128,128,91,110,80,54,23,48,13,12,23,0,6,14,0,3732,1.17931,0.00622947
10.1.9.2,18,0,10,6,15,9,18,42,0,90,100,101,97,207,158,151,171,238,231,272,207,219,244,143,179,143,154,124,112,61,36,33,39,22,16,4,0,0,0,0,3670,1.1838,0.00625455
10.1.10.2,8,0,0,0,12,4,53,51,46,0,125,77,142,172,196,222,222,227,210,263,284,203,206,190,138,133,91,132,51,86,55,59,22,35,14,4,0,0,0,0,3733,1.18055,0.00643742
10.1.11.2,4,0,5,3,25,13,40,59,64,41,0,118,153,172,160,152,198,211,205,236,243,260,247,212,234,84,138,137,59,66,56,34,24,0,16,14,12,6,6,0,3707,1.1832,0.00639746
10.1.12.2,0,0,5,5,9,18,34,57,50,81,73,0,113,108,229,204,175,210,243,228,258,219,207,150,247,171,116,99,92,69,85,33,31,23,8,14,18,0,6,0,3688,1.18568,0.00629925
10.1.13.2,4,0,13,3,8,31,35,54,61,101,106,131,0,158,132,177,207,211,270,213,197,242,250,220,148,180,137,103,87,84,48,41,27,35,6,22,6,0,0,0,3748,1.18183,0.00646746
10.1.14.2,0,11,9,10,14,15,13,64,59,63,107,131,73,0,165,157,190,312,266,234,215,183,179,151,234,120,130,90,112,90,100,34,55,25,10,23,7,11,0,0,3662,1.18207,0.00614389
10.1.15.2,3,5,5,10,11,36,17,42,58,77,101,116,149,143,0,205,270,229,235,285,256,225,177,173,168,144,110,115,69,84,46,35,19,18,9,16,10,0,11,0,3682,1.1798,0.00629423
10.1.16.2,10,9,0,25,11,40,27,40,61,79,127,90,166,168,170,0,197,224,271,248,216,269,150,228,141,147,119,106,54,73,60,43,38,33,12,5,23,0,3,0,3683,1.18012,0.00662803
10.1.17.2,0,6,4,10,13,12,31,15,55,53,118,128,79,124,195,208,0,172,297,255,253,189,225,227,176,158,150,114,100,39,87,38,24,27,9,39,5,4,0,0,3639,1.19061,0.00668382
10.1.18.2,0,5,0,10,34,10,38,47,44,101,82,158,121,140,194,195,159,0,269,223,226,213,218,269,217,172,134,61,50,74,68,50,30,20,11,14,3,15,3,0,3678,1.18747,0.00635865
10.1.19.2,0,3,0,13,23,28,38,64,73,79,90,101,111,128,195,145,236,225,0,190,235,240,292,206,230,188,132,75,93,62,41,46,36,37,29,9,4,0,0,0,3697,1.18576,0.00639642
