 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,"Hormigas enviadas",Media,Varianza
10.1.1.2,0,3,3,3,23,11,54,38,73,93,67,52,115,171,204,175,185,189,257,211,201,219,198,199,149,155,123,82,121,49,79,45,29,34,8,24,10,5,0,0,3657,1.17865,0.00633785
10.1.2.2,3,0,3,0,9,46,11,31,65,91,106,88,121,148,170,220,226,231,210,232,188,263,197,234,134,179,108,105,116,60,39,25,51,11,25,0,5,8,0,0,3759,1.17837,0.00624458
10.1.3.2,6,4,0,14,0,14,28,24,42,90,70,95,133,149,171,185,244,227,226,262,170,203,242,169,160,114,98,87,147,54,57,58,27,34,9,4,11,13,0,0,3641,1.17589,0.00651956
10.1.4.2,3,0,7,0,26,22,25,49,70,52,42,119,94,140,164,156,181,266,196,283,263,286,224,120,149,119,132,121,81,91,54,59,20,42,22,15,5,0,5,0,3703,1.17871,0.0063734
10.1.5.2,3,19,20,10,0,26,37,45,89,73,88,82,97,160,149,217,205,208,249,222,181,207,184,207,130,145,136,130,105,77,61,52,37,6,14,12,3,4,0,0,3690,1.17987,0.00642452
10.1.6.2,0,17,0,17,13,0,24,51,80,82,84,103,141,118,143,142,188,246,213,278,212,193,205,208,201,166,139,131,79,64,71,39,26,38,5,6,3,0,0,0,3726,1.1772,0.00635986
10.1.7.2,5,0,16,16,24,37,0,30,62,78,70,101,140,157,131,176,219,208,230,219,289,177,207,220,166,160,103,115,86,46,64,49,39,17,17,3,15,0,7,0,3699,1.17963,0.00656455
10.1.8.2,10,4,4,15,14,38,38,0,62,87,58,116,166,137,149,164,198,236,236,234,198,235,254,171,170,135,94,95,103,77,57,51,29,18,20,14,8,5,0,0,3700,1.17863,0.00627833
10.1.9.2,6,4,6,22,18,10,32,49,0,82,83,84,156,144,132,158,316,183,221,252,238,209,227,215,119,149,120,102,108,56,81,47,38,10,3,4,16,0,0,0,3700,1.18396,0.0065385
10.1.10.2,0,3,13,0,22,48,29,25,81,0,97,129,138,73,148,206,229,200,284,164,206,242,168,227,179,147,152,111,92,95,29,35,48,26,23,17,5,4,0,0,3695,1.18292,0.0061864
10.1.11.2,0,11,0,12,45,5,37,32,53,67,0,76,126,164,192,180,266,199,220,197,199,217,206,198,194,191,115,111,86,91,33,42,20,29,21,13,0,5,10,0,3663,1.1826,0.00627208
10.1.12.2,0,0,4,12,32,11,18,60,53,90,87,0,87,149,184,217,220,192,248,239,179,226,162,208,189,184,156,137,93,51,69,35,53,23,19,5,3,4,0,0,3699,1.18037,0.00630545
10.1.13.2,0,15,0,0,10,20,28,50,56,59,78,157,0,190,160,199,228,244,208,261,220,237,227,168,183,125,172,90,71,53,57,41,32,25,15,18,7,6,0,0,3710,1.18365,0.00620067
10.1.14.2,0,9,0,6,33,33,28,39,50,83,102,126,172,0,167,206,216,248,183,215,261,245,223,166,166,152,142,69,95,56,75,18,9,26,11,16,14,0,4,0,3664,1.18359,0.00624558
10.1.15.2,4,12,0,13,18,19,11,37,59,91,69,119,164,159,0,187,194,299,230,226,244,220,218,164,147,218,90,119,70,110,56,49,47,31,10,3,10,6,0,0,3723,1.17775,0.00626969
10.1.16.2,6,0,6,3,27,26,20,43,47,72,76,86,115,147,173,0,219,232,207,236,266,180,214,171,171,214,148,138,139,86,85,43,19,42,22,19,12,6,0,0,3716,1.18142,0.00613206
10.1.17.2,4,3,13,4,19,23,20,56,56,84,126,141,143,171,217,172,0,230,207,271,259,209,183,204,149,154,110,153,94,85,46,24,27,28,19,26,10,0,4,0,3744,1.18616,0.00653324
10.1.18.2,4,0,8,4,15,24,31,39,78,57,99,147,143,142,233,164,219,0,241,314,246,220,206,200,115,146,156,120,74,60,28,27,44,20,12,10,28,3,0,0,3677,1.18888,0.00655837
10.1.19.2,0,4,8,11,17,43,15,26,56,80,96,107,197,159,118,203,246,183,0,261,216,257,220,216,212,130,155,141,84,40,46,31,27,19,26,5,16,4,0,0,3675,1.18749,0.00617454
10.1.20.2,17,0,20,5,16,23,15,30,40,50,80,155,130,151,163,193,227,204,234,0,251,217,236,217,202,155,118,113,126,74,66,64,42,18,23,6,9,4,0,0,3694,1.18682,0.0065564
10.1.21.2,5,0,6,9,23,52,43,39,51,86,81,95,117,192,161,188,209,213,205,224,0,261,305,194,191,140,104,120,116,65,52,84,47,24,16,10,0,5,0,0,3733,1.18837,0.00630169
10.1.22.2,0,0,10,4,53,12,47,47,72,67,65,85,131,179,194,224,207,248,269,214,255,0,187,172,157,137,126,115,110,102,57,38,31,30,9,10,5,0,0,0,3669,1.1865,0.00643617
10.1.23.2,0,3,0,0,6,17,53,50,61,50,121,90,155,200,160,192,167,179,214,264,307,253,0,204,189,140,109,123,76,87,39,25,27,32,39,4,10,5,4,0,3655,1.18748,0.00630934
10.1.24.2,3,0,6,3,5,31,20,26,58,103,88,120,164,146,143,163,161,295,292,268,264,196,202,0,220,166,103,131,47,74,27,35,37,43,13,0,5,0,10,0,3668,1.18586,0.00621259
10.1.25.2,9,10,0,8,16,7,30,42,70,59,102,105,130,153,193,193,209,217,204,277,196,175,250,143,0,151,137,104,104,89,51,84,48,14,36,6,23,4,0,0,3649,1.18715,0.00636838
