 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,"Hormigas enviadas",Media,Varianza
10.1.1.2,0,5,6,27,25,31,40,35,44,81,75,85,115,144,134,172,238,218,179,217,221,256,260,178,175,154,127,82,78,96,68,64,28,22,17,3,7,10,9,0,3726,1.17622,0.00642007
10.1.2.2,0,0,5,22,20,37,23,55,46,61,95,121,115,153,133,182,222,217,196,264,225,207,221,183,155,155,121,156,94,55,34,54,33,26,12,13,5,3,0,0,3719,1.17796,0.00635015
10.1.3.2,0,3,0,3,11,18,16,48,33,98,88,110,133,119,170,152,241,230,237,215,200,195,146,174,192,166,124,103,128,81,54,35,54,12,37,9,13,0,4,0,3652,1.17451,0.00645809
10.1.4.2,11,20,8,0,8,15,17,51,56,71,83,109,157,145,164,181,181,210,215,210,206,277,196,162,174,158,115,105,81,73,73,60,22,16,18,6,8,14,0,0,3676,1.17645,0.00647087
10.1.5.2,6,3,9,27,0,35,29,37,48,86,106,66,163,204,205,159,245,180,222,257,267,182,178,179,124,140,129,127,82,98,30,36,20,33,14,6,8,0,8,0,3748,1.17735,0.0061895
10.1.6.2,0,0,16,8,18,0,39,28,52,86,56,105,117,117,177,173,242,211,243,207,202,254,170,219,121,210,148,123,85,83,72,34,21,51,8,13,9,8,10,0,3736,1.17836,0.0062192
10.1.7.2,4,0,11,17,10,29,0,32,40,84,93,139,139,131,125,201,231,209,174,212,261,287,253,172,186,113,124,104,67,55,36,50,18,17,17,11,6,11,4,0,3673,1.17862,0.00615398
10.1.8.2,4,5,14,13,15,27,29,0,48,46,93,103,147,128,151,170,205,246,244,255,214,219,177,177,214,153,103,153,122,61,24,21,58,46,12,11,12,6,6,0,3732,1.18083,0.00651778
10.1.9.2,6,12,0,9,13,10,35,75,0,63,129,90,116,104,163,161,213,217,227,249,237,220,204,278,147,133,101,103,112,50,76,47,41,19,20,9,5,0,0,0,3694,1.17911,0.00668545
10.1.10.2,6,6,4,37,20,28,50,34,69,0,86,80,108,162,146,184,157,256,239,189,222,248,225,221,152,147,170,118,108,78,47,48,55,12,6,6,12,0,0,0,3736,1.18382,0.0064046
