 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.40.2,Suma
10.1.1.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001702,0.000189,0.000018,0.000600,0.000000,0.000002,0.000059,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021651,0.249532,0.004060,0.110329,0.048610,0.009002,0.554240,1.000000
10.1.2.2,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001190,0.000000,0.000049,0.000016,0.000000,0.000150,0.002767,0.000435,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.119143,0.012241,0.005717,0.525780,0.249077,0.056364,0.027062,1.000000
10.1.3.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000573,0.000195,0.000067,0.001407,0.000002,0.000020,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008196,0.003680,0.108170,0.248615,0.563502,0.045975,0.019591,1.000000
10.1.4.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000203,0.000075,0.000026,0.003119,0.001384,0.000563,0.000000,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000001,0.057439,0.028073,0.013226,0.252353,0.006065,0.120497,0.516963,1.000000
10.1.5.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000635,0.000006,0.000002,0.001801,0.000020,0.000212,0.000065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047166,0.020122,0.108584,0.008593,0.246549,0.003624,0.562621,1.000000
10.1.6.2,0.000000,0.000012,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000375,0.000120,0.002830,0.000038,0.000000,0.001032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054066,0.024761,0.116759,0.005056,0.011300,0.251213,0.532433,1.000000
10.1.7.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000345,0.000869,0.000013,0.000039,0.000001,0.000000,0.002256,0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.251138,0.010668,0.005112,0.024004,0.054093,0.120701,0.530638,1.000000
10.1.8.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000129,0.000000,0.000013,0.002724,0.000000,0.000000,0.000370,0.001024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000042,0.000000,0.116179,0.534677,0.024883,0.250572,0.053174,0.005044,0.011164,1.000000
10.1.9.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000687,0.000020,0.001846,0.000231,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000068,0.000000,0.000000,0.000000,0.000000,0.000000,0.010150,0.248135,0.005275,0.112145,0.023204,0.050238,0.547991,1.000000
10.1.10.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000217,0.000000,0.000023,0.000008,0.001845,0.000000,0.000071,0.000661,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.008749,0.020733,0.110984,0.557323,0.247584,0.003683,0.048113,1.000000
