 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,Suma
10.1.1.2,0.000000,0.000000,0.000001,0.000031,0.000000,0.000715,0.000015,0.000000,0.003908,0.001156,0.000242,0.000002,0.001793,0.007685,0.000429,0.035519,0.046321,0.027370,0.021121,0.012600,0.009764,0.007074,0.016671,0.000000,0.000000,0.000006,0.000068,0.000122,0.000000,0.005268,0.002558,0.066661,0.082490,0.148954,0.180310,0.054338,0.102212,0.041690,0.122904,1.000000
10.1.2.2,0.000001,0.000000,0.000000,0.000025,0.000000,0.002228,0.000012,0.000005,0.000101,0.001250,0.005000,0.000002,0.000702,0.008048,0.003142,0.045278,0.035320,0.007738,0.028597,0.010358,0.013641,0.017747,0.022311,0.000197,0.000000,0.000051,0.000366,0.000000,0.000000,0.000000,0.006443,0.067869,0.054073,0.145645,0.121364,0.099357,0.178334,0.042105,0.082692,1.000000
10.1.3.2,0.000007,0.000000,0.000000,0.000000,0.000001,0.000035,0.000524,0.000000,0.004833,0.001009,0.000272,0.000003,0.001690,0.005143,0.003020,0.012805,0.009753,0.021294,0.007292,0.035662,0.027911,0.016944,0.045462,0.000000,0.000000,0.000017,0.000078,0.000137,0.000000,0.000000,0.007330,0.053485,0.099378,0.179707,0.123042,0.150901,0.067269,0.083206,0.041788,1.000000
10.1.4.2,0.000786,0.000000,0.000000,0.000000,0.000001,0.000229,0.000480,0.000000,0.000109,0.001451,0.000010,0.002175,0.000002,0.005000,0.000053,0.015953,0.046396,0.011973,0.027092,0.008968,0.035743,0.006457,0.020650,0.000000,0.000000,0.000000,0.003106,0.000000,0.000004,0.000023,0.007394,0.103176,0.123603,0.149453,0.083247,0.066936,0.184489,0.041187,0.053853,1.000000
10.1.5.2,0.000001,0.000000,0.000000,0.000000,0.000000,0.000038,0.001278,0.000003,0.000665,0.005271,0.000016,0.000084,0.000007,0.003995,0.002221,0.009877,0.007167,0.022465,0.013214,0.035433,0.045866,0.017009,0.027198,0.000343,0.000000,0.000173,0.000000,0.000000,0.000000,0.007782,0.002779,0.041513,0.100228,0.181961,0.122341,0.067488,0.148190,0.081681,0.053712,1.000000
10.1.6.2,0.001150,0.000000,0.005080,0.000001,0.000000,0.000000,0.002408,0.000000,0.000000,0.000000,0.000003,0.000000,0.000253,0.006795,0.000020,0.016524,0.012292,0.027661,0.045235,0.035597,0.009261,0.020850,0.006785,0.000000,0.000000,0.000001,0.000109,0.000009,0.000590,0.000047,0.005564,0.082484,0.067642,0.121596,0.101012,0.041896,0.184443,0.150369,0.054324,1.000000
10.1.7.2,0.000003,0.000000,0.000000,0.000021,0.000000,0.000008,0.000000,0.000001,0.001269,0.008296,0.000168,0.005102,0.000252,0.001972,0.000426,0.020636,0.045529,0.027199,0.009248,0.015865,0.012402,0.035371,0.006589,0.000083,0.000000,0.000000,0.000000,0.000048,0.000000,0.000744,0.003146,0.149571,0.054447,0.101378,0.041740,0.083140,0.123576,0.067653,0.184115,1.000000
10.1.8.2,0.000005,0.000002,0.000000,0.000000,0.000001,0.000185,0.000354,0.000000,0.000661,0.003971,0.000054,0.000098,0.005919,0.008855,0.001144,0.035634,0.016990,0.012926,0.027370,0.007271,0.009867,0.021542,0.045775,0.000030,0.000000,0.001955,0.000013,0.000000,0.000000,0.000000,0.002489,0.052173,0.180939,0.045522,0.120772,0.081949,0.066226,0.148070,0.101236,1.000000
10.1.9.2,0.007649,0.000000,0.002994,0.000000,0.000000,0.000001,0.001964,0.000236,0.000000,0.000003,0.000457,0.000810,0.000000,0.004745,0.000124,0.020145,0.008520,0.011273,0.045077,0.006254,0.035032,0.026442,0.015152,0.000033,0.000000,0.000000,0.000015,0.000061,0.000000,0.000007,0.001155,0.102787,0.041249,0.124876,0.053325,0.083866,0.152597,0.185833,0.067318,1.000000
10.1.10.2,0.000008,0.000000,0.000000,0.000019,0.000672,0.000000,0.000046,0.000173,0.000001,0.000000,0.000000,0.000000,0.000000,0.003405,0.000000,0.024533,0.007252,0.013201,0.010277,0.044060,0.005129,0.033104,0.017895,0.000000,0.000003,0.000000,0.000362,0.000085,0.002065,0.005846,0.001212,0.040042,0.066186,0.127611,0.083720,0.159366,0.198166,0.051755,0.103808,1.000000
10.1.11.2,0.000000,0.000943,0.000000,0.000000,0.000000,0.000001,0.000003,0.000000,0.000039,0.000000,0.000000,0.001656,0.000017,0.005841,0.000087,0.046247,0.010491,0.007928,0.019327,0.025819,0.005534,0.034473,0.014252,0.000194,0.000000,0.002491,0.000428,0.000000,0.000000,0.000007,0.004023,0.065675,0.101982,0.157995,0.053280,0.191062,0.041002,0.126988,0.082214,1.000000
10.1.13.2,0.000001,0.000000,0.000000,0.001085,0.000000,0.000003,0.000088,0.000000,0.000022,0.000000,0.000169,0.000000,0.000000,0.005147,0.000042,0.046095,0.034414,0.025557,0.004874,0.009529,0.006825,0.018426,0.013273,0.000000,0.000344,0.003465,0.000000,0.000000,0.002028,0.000008,0.000585,0.082864,0.128879,0.039985,0.196251,0.102428,0.159874,0.052275,0.065466,1.000000
10.1.14.2,0.000001,0.000000,0.000005,0.000000,0.000000,0.006277,0.000012,0.000000,0.000000,0.000000,0.000335,0.000002,0.000000,0.004049,0.000068,0.008000,0.044948,0.033962,0.005751,0.025777,0.014869,0.019681,0.011110,0.000000,0.000000,0.000670,0.000154,0.000029,0.001129,0.002512,0.001604,0.082050,0.065942,0.154797,0.192056,0.102511,0.127856,0.041193,0.052652,1.000000
10.1.15.2,0.000001,0.000030,0.000000,0.000000,0.000000,0.003144,0.000002,0.000000,0.000142,0.000000,0.001468,0.000317,0.000012,0.000000,0.000704,0.005187,0.013211,0.024858,0.045493,0.018186,0.033451,0.007290,0.009677,0.004704,0.000000,0.000000,0.000066,0.000000,0.000000,0.000005,0.003620,0.128851,0.198238,0.051469,0.065920,0.040103,0.102658,0.081734,0.159458,1.000000
10.1.16.2,0.000002,0.000625,0.001275,0.000000,0.000000,0.000000,0.000329,0.000000,0.000011,0.000065,0.000001,0.000147,0.000000,0.004135,0.000000,0.034499,0.045924,0.019682,0.025670,0.008128,0.010748,0.006082,0.014526,0.000005,0.000000,0.002542,0.000027,0.000000,0.000000,0.001815,0.006252,0.067311,0.099856,0.192752,0.040926,0.082633,0.124992,0.053474,0.155564,1.000000
10.1.17.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000199,0.000000,0.000066,0.000000,0.000000,0.000000,0.000002,0.000007,0.000000,0.000000,0.000000,0.010019,0.000757,0.001420,0.005311,0.019186,0.000358,0.002773,0.000000,0.000000,0.000000,0.000021,0.000001,0.000000,0.000000,0.000000,0.302636,0.110886,0.031849,0.151099,0.020727,0.048970,0.073748,0.219965,1.000000
10.1.18.2,0.000000,0.000000,0.000000,0.000000,0.000001,0.000002,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000019,0.000677,0.000000,0.001433,0.011692,0.005777,0.002832,0.023405,0.000298,0.000000,0.000000,0.000000,0.000000,0.000054,0.000000,0.000000,0.000146,0.147403,0.052089,0.212923,0.036864,0.103426,0.304962,0.072763,0.023229,1.000000
10.1.19.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000111,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000007,0.000000,0.019660,0.005481,0.000000,0.000248,0.002684,0.000577,0.010643,0.001275,0.000000,0.000042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,0.152629,0.073395,0.049008,0.226114,0.031588,0.300336,0.106096,0.020087,1.000000
10.1.20.2,0.000001,0.000002,0.000000,0.000066,0.000000,0.000000,0.000000,0.000000,0.000007,0.000000,0.000000,0.000000,0.000199,0.000022,0.000000,0.001295,0.002644,0.005279,0.000000,0.019220,0.000325,0.010179,0.000644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.073690,0.031495,0.104910,0.313953,0.048752,0.019983,0.217186,0.150147,1.000000
10.1.21.2,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000613,0.000339,0.010790,0.002655,0.000000,0.001295,0.021089,0.005313,0.000000,0.000000,0.000000,0.000021,0.000148,0.000000,0.000000,0.000059,0.051881,0.296508,0.076964,0.034825,0.218235,0.104828,0.021988,0.152438,1.000000
10.1.22.2,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000001,0.001107,0.000466,0.019510,0.000195,0.002372,0.000000,0.009554,0.004848,0.000000,0.000000,0.000000,0.000000,0.000003,0.000000,0.000000,0.000000,0.147443,0.215091,0.050235,0.076643,0.105272,0.314006,0.032558,0.020553,1.000000
10.1.23.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000043,0.000004,0.000000,0.000000,0.000001,0.000000,0.001073,0.009382,0.000460,0.000085,0.004955,0.018521,0.000000,0.002410,0.000000,0.000000,0.000000,0.000013,0.000000,0.000000,0.000000,0.000209,0.048470,0.152126,0.305998,0.030830,0.019296,0.075848,0.217983,0.112292,1.000000
