 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,Suma
10.1.1.2,0.000000,0.000000,0.000013,0.000000,0.000027,0.000050,0.000003,0.004464,0.000007,0.005954,0.002062,0.000841,0.001343,0.000294,0.000497,0.000164,0.007687,0.013410,0.046533,0.021682,0.017381,0.036334,0.010236,0.028240,0.008161,0.000001,0.000000,0.000000,0.002878,0.000000,0.000097,0.066019,0.081347,0.148652,0.099574,0.053918,0.121638,0.041537,0.178956,1.000000
10.1.2.2,0.000000,0.000000,0.000006,0.000000,0.004092,0.000000,0.000013,0.000207,0.002549,0.000113,0.000367,0.001057,0.000003,0.000060,0.000625,0.001666,0.021212,0.016422,0.009409,0.012416,0.027640,0.035773,0.046712,0.006846,0.007713,0.000028,0.000000,0.000000,0.005432,0.000001,0.000000,0.054074,0.080171,0.064126,0.098707,0.051507,0.121259,0.148279,0.181513,1.000000
10.1.3.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000037,0.003051,0.002035,0.000901,0.000534,0.000202,0.000062,0.001345,0.004179,0.000329,0.007369,0.013175,0.033476,0.042883,0.021267,0.010042,0.017197,0.026499,0.005789,0.000113,0.000002,0.000000,0.008208,0.000001,0.000006,0.080641,0.145073,0.100056,0.059837,0.121204,0.053121,0.063062,0.178287,1.000000
10.1.4.2,0.000000,0.000000,0.000004,0.000000,0.000002,0.000000,0.000000,0.000031,0.000009,0.000060,0.000016,0.000183,0.004186,0.009579,0.000924,0.002722,0.016894,0.046494,0.028192,0.009677,0.012927,0.036263,0.021645,0.007572,0.006050,0.000000,0.000111,0.000309,0.001582,0.000532,0.000001,0.122419,0.081394,0.149234,0.052880,0.041052,0.099701,0.181635,0.065722,1.000000
10.1.5.2,0.000359,0.001719,0.000000,0.000000,0.000000,0.000018,0.000001,0.003882,0.000034,0.001071,0.000010,0.000002,0.000634,0.005820,0.000119,0.000064,0.016998,0.012789,0.007116,0.027296,0.042474,0.034695,0.009846,0.021186,0.007538,0.000000,0.000000,0.000005,0.002441,0.000212,0.000000,0.082873,0.051472,0.097868,0.182949,0.066286,0.121396,0.149354,0.051470,1.000000
10.1.6.2,0.001478,0.000000,0.000009,0.000000,0.003298,0.000000,0.000004,0.004673,0.000530,0.000104,0.000002,0.000904,0.000031,0.000058,0.002288,0.000314,0.017685,0.010729,0.022542,0.028327,0.013602,0.008083,0.045085,0.035245,0.007193,0.000017,0.000000,0.000184,0.006587,0.000000,0.000001,0.081843,0.177051,0.147280,0.121934,0.099865,0.066632,0.042144,0.054279,1.000000
10.1.7.2,0.000000,0.000000,0.000223,0.000014,0.000002,0.000000,0.000000,0.006629,0.000401,0.000687,0.000066,0.000128,0.003259,0.002123,0.001214,0.000033,0.034654,0.027261,0.010049,0.013113,0.016790,0.007909,0.044136,0.021800,0.008684,0.000000,0.000000,0.000000,0.004268,0.000005,0.000000,0.120689,0.147868,0.098700,0.066635,0.081884,0.050149,0.177528,0.053096,1.000000
10.1.8.2,0.000001,0.000000,0.000834,0.000004,0.000012,0.000470,0.005676,0.000000,0.000260,0.000079,0.001417,0.000043,0.000007,0.000144,0.003852,0.000023,0.009897,0.016685,0.007526,0.026875,0.065743,0.021209,0.041667,0.012927,0.006111,0.000000,0.000000,0.002304,0.008422,0.000000,0.000000,0.033235,0.174743,0.145036,0.052077,0.098654,0.079896,0.121161,0.063008,1.000000
10.1.9.2,0.000000,0.001116,0.000009,0.000000,0.000101,0.000000,0.000004,0.000635,0.000000,0.000045,0.000002,0.001683,0.000001,0.000000,0.000020,0.000199,0.014822,0.019831,0.008460,0.011806,0.036159,0.004297,0.026722,0.005964,0.004250,0.000000,0.000332,0.000000,0.002744,0.000000,0.000000,0.069909,0.162724,0.105509,0.058189,0.048077,0.090345,0.129542,0.196503,1.000000
10.1.10.2,0.000000,0.000000,0.000005,0.000000,0.000001,0.000000,0.000000,0.001240,0.000002,0.000000,0.000000,0.000012,0.000292,0.000615,0.000069,0.002047,0.019532,0.004376,0.005823,0.026453,0.060835,0.007928,0.034984,0.010714,0.003864,0.000030,0.000000,0.000147,0.002781,0.000000,0.000000,0.127996,0.097313,0.156499,0.078335,0.100122,0.014340,0.197443,0.046203,1.000000
