 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,Suma
10.1.1.2,0.000000,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000466,0.000002,0.000002,0.000014,0.000002,0.002447,0.000078,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.007407,0.504034,0.062105,0.030283,0.003450,0.250821,0.124288,0.014565,1.000000
10.1.2.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000758,0.000000,0.000005,0.000030,0.000001,0.003291,0.000178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037402,0.008840,0.069472,0.004191,0.252068,0.134491,0.018220,0.471046,1.000000
10.1.3.2,0.000002,0.000002,0.000000,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.003248,0.000004,0.000002,0.000017,0.000610,0.000002,0.000104,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.131213,0.251043,0.017686,0.035375,0.068148,0.005028,0.008761,0.478704,1.000000
10.1.4.2,0.000002,0.000002,0.000002,0.000000,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.002616,0.000002,0.000002,0.000002,0.000014,0.000083,0.000484,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.032235,0.484235,0.130507,0.008144,0.015842,0.003702,0.256533,0.065548,1.000000
10.1.5.2,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000443,0.000001,0.000001,0.000076,0.000010,0.002207,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.035122,0.133375,0.007609,0.068497,0.016373,0.004170,0.252944,0.479154,1.000000
10.1.6.2,0.000002,0.000002,0.000002,0.000002,0.000002,0.000000,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000003,0.000093,0.000013,0.002879,0.000534,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.069089,0.017480,0.003752,0.133241,0.471350,0.259044,0.034245,0.008218,1.000000
10.1.7.2,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000661,0.000019,0.000002,0.000001,0.000118,0.002972,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.004075,0.017062,0.034218,0.068638,0.254756,0.135531,0.473083,0.008846,1.000000
10.1.8.2,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000000,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000570,0.000004,0.000004,0.003110,0.000004,0.000010,0.000072,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.071474,0.009144,0.040168,0.254706,0.458284,0.138510,0.004385,0.019472,1.000000
10.1.9.2,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000000,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000517,0.000005,0.000086,0.000013,0.000004,0.000004,0.002967,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.008652,0.134379,0.251068,0.004043,0.067477,0.018009,0.478570,0.034123,1.000000
10.1.10.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001449,0.000009,0.000311,0.000051,0.000001,0.006122,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008041,0.016544,0.000000,0.066869,0.134573,0.478899,0.253474,0.033645,1.000000
10.1.11.2,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.006809,0.000050,0.000008,0.000001,0.000001,0.001348,0.000280,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.250687,0.068354,0.000001,0.475709,0.134473,0.035687,0.017924,0.008658,1.000000
10.1.12.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001398,0.000011,0.000059,0.000000,0.000311,0.006518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034696,0.008324,0.000002,0.070559,0.016947,0.270164,0.139269,0.451738,1.000000
10.1.13.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000072,0.000000,0.000358,0.001725,0.006996,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038698,0.018842,0.000013,0.072052,0.460450,0.141877,0.009007,0.249905,1.000000
