 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,Suma
10.1.1.2,0.000000,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.002715,0.000014,0.000191,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.015872,0.250838,0.031982,0.494118,0.003846,0.007894,0.127566,0.064598,1.000000
10.1.2.2,0.000005,0.000000,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000371,0.000005,0.002144,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.003401,0.129803,0.007116,0.064677,0.015603,0.489734,0.033005,0.254017,1.000000
10.1.3.2,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.003112,0.000010,0.000010,0.000010,0.000433,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.065788,0.017024,0.485416,0.004284,0.008355,0.251277,0.034568,0.129475,1.000000
10.1.4.2,0.000014,0.000014,0.000014,0.000000,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000021,0.000014,0.002052,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014,0.030922,0.003170,0.251916,0.015019,0.498054,0.006976,0.064044,0.127443,1.000000
10.1.5.2,0.000019,0.000019,0.000019,0.000019,0.000000,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000072,0.000019,0.002972,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.065317,0.017282,0.004226,0.486830,0.008618,0.252734,0.033112,0.128316,1.000000
10.1.6.2,0.000010,0.000010,0.000010,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.002399,0.000010,0.000010,0.000010,0.000255,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.252335,0.007330,0.003483,0.131138,0.015460,0.032893,0.068727,0.485711,1.000000
10.1.7.2,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000000,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000115,0.000015,0.000015,0.002610,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.485406,0.017361,0.066661,0.132881,0.033290,0.007988,0.003616,0.249653,1.000000
10.1.8.2,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000000,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.002087,0.000009,0.000009,0.000009,0.000009,0.000009,0.000215,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.258263,0.031534,0.006673,0.064514,0.003221,0.014567,0.131350,0.487337,1.000000
10.1.9.2,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000382,0.000005,0.000005,0.002259,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.499536,0.031138,0.250884,0.007111,0.015201,0.065207,0.124760,0.003380,1.000000
10.1.10.2,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000000,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.001986,0.000009,0.000158,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.259872,0.002879,0.006535,0.065047,0.014306,0.129226,0.488893,0.030835,1.000000
