 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,Suma
10.1.1.2,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000003,0.011047,0.000026,0.002937,0.000001,0.000824,0.000200,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.010445,0.032178,0.391258,0.018787,0.239351,0.091615,0.145523,0.055792,1.000000
10.1.2.2,0.000010,0.000000,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.006284,0.000022,0.000010,0.000010,0.000011,0.000175,0.001026,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.247214,0.139732,0.024327,0.437988,0.006710,0.043550,0.012992,0.079714,1.000000
10.1.3.2,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000085,0.000014,0.009498,0.002146,0.000522,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.017524,0.029622,0.240572,0.402939,0.052581,0.089208,0.009747,0.145520,1.000000
10.1.4.2,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000015,0.000001,0.009103,0.000611,0.002548,0.000001,0.000001,0.000118,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.009475,0.088925,0.242898,0.017169,0.052601,0.394893,0.151370,0.030261,1.000000
10.1.5.2,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000072,0.002065,0.000002,0.009476,0.000001,0.000400,0.000010,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.009274,0.050589,0.401757,0.246974,0.086316,0.017152,0.029428,0.146461,1.000000
10.1.6.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010236,0.003034,0.000238,0.000010,0.000000,0.000054,0.000000,0.000933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010177,0.246205,0.051006,0.086901,0.017781,0.146682,0.030118,0.396623,1.000000
10.1.7.2,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000442,0.002237,0.000078,0.000001,0.000010,0.000001,0.000001,0.009023,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.407313,0.143116,0.241225,0.029991,0.016457,0.052458,0.088353,0.009276,1.000000
10.1.8.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000036,0.000814,0.000000,0.000000,0.000182,0.009736,0.000002,0.003333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.242639,0.010719,0.398284,0.146523,0.051859,0.018424,0.087299,0.030145,1.000000
10.1.9.2,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000036,0.008631,0.002636,0.000767,0.000227,0.000003,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.029074,0.145507,0.244809,0.088988,0.401841,0.017128,0.009311,0.051032,1.000000
10.1.10.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007233,0.000000,0.002164,0.000052,0.000176,0.000000,0.000651,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089977,0.053702,0.018624,0.237666,0.019566,0.032250,0.148021,0.389907,1.000000
10.1.11.2,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000066,0.006366,0.000001,0.000001,0.000010,0.001505,0.000380,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.078987,0.248178,0.139854,0.047481,0.026178,0.430284,0.006995,0.013703,1.000000
10.1.12.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000731,0.002197,0.000000,0.000000,0.000152,0.007735,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.241062,0.051768,0.403985,0.013053,0.085459,0.018252,0.030258,0.145311,1.000000
10.1.13.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005309,0.000000,0.001476,0.000369,0.000014,0.000002,0.000078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.409580,0.014205,0.009821,0.046211,0.145462,0.027244,0.256466,0.083762,1.000000
10.1.14.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004517,0.000013,0.000000,0.001293,0.000002,0.000074,0.000307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.085883,0.029088,0.013100,0.142586,0.015298,0.416256,0.048906,0.242676,1.000000
