 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,Suma
10.1.1.2,0.000000,0.000000,0.000000,0.011424,0.000000,0.000000,0.000100,0.000188,0.001828,0.004592,0.001132,0.000027,0.000358,0.007502,0.000051,0.035411,0.017354,0.013618,0.010273,0.022277,0.028425,0.007964,0.045246,0.000000,0.000001,0.000002,0.000689,0.003002,0.000005,0.000013,0.000000,0.120988,0.042155,0.082048,0.053707,0.146800,0.175168,0.066858,0.100796,1.000000
10.1.2.2,0.000000,0.000000,0.000000,0.009055,0.000004,0.000000,0.001113,0.000010,0.005597,0.000125,0.000552,0.000002,0.000023,0.003391,0.000054,0.028974,0.013568,0.046081,0.022446,0.037076,0.017421,0.008055,0.010292,0.000000,0.000000,0.000000,0.002040,0.007465,0.000001,0.000268,0.000000,0.177425,0.041879,0.065973,0.081510,0.120381,0.145901,0.099109,0.054210,1.000000
10.1.3.2,0.000000,0.000000,0.000000,0.000980,0.000000,0.000001,0.000166,0.000319,0.000589,0.001752,0.000087,0.000021,0.010267,0.002863,0.000045,0.017830,0.007783,0.028745,0.010782,0.036396,0.046231,0.022332,0.013949,0.000000,0.000010,0.000000,0.004685,0.007363,0.000002,0.000000,0.000005,0.067367,0.053716,0.082162,0.121185,0.042417,0.100824,0.171878,0.147247,1.000000
10.1.4.2,0.000000,0.000005,0.000002,0.000000,0.000001,0.006861,0.000000,0.009750,0.001223,0.000045,0.000097,0.000010,0.000021,0.003260,0.000193,0.044792,0.036206,0.022793,0.010791,0.013916,0.007903,0.029326,0.018107,0.000000,0.000000,0.000000,0.000347,0.004875,0.001932,0.000644,0.000000,0.041816,0.067267,0.081700,0.099796,0.054118,0.145988,0.176918,0.119300,1.000000
10.1.5.2,0.000000,0.000006,0.000000,0.008524,0.000000,0.000000,0.000000,0.001273,0.000029,0.000054,0.000699,0.000376,0.000014,0.003119,0.000111,0.035827,0.028085,0.010870,0.017271,0.045566,0.014422,0.008047,0.021996,0.000001,0.000000,0.000002,0.000210,0.004838,0.007667,0.002230,0.000000,0.118544,0.042848,0.145322,0.055195,0.099990,0.177609,0.080877,0.068377,1.000000
10.1.6.2,0.000000,0.000000,0.000002,0.008213,0.000000,0.000000,0.000000,0.000058,0.000569,0.000025,0.000010,0.000261,0.001792,0.004725,0.000005,0.010363,0.027840,0.035733,0.017032,0.013520,0.045769,0.007728,0.021859,0.000000,0.000001,0.000000,0.003239,0.007942,0.001226,0.000119,0.000000,0.082652,0.145620,0.177756,0.066636,0.042085,0.100739,0.122967,0.053515,1.000000
10.1.7.2,0.000002,0.000005,0.000056,0.001337,0.000000,0.000000,0.000000,0.000391,0.000203,0.000011,0.000027,0.004276,0.000102,0.001904,0.006154,0.010053,0.007500,0.021447,0.027641,0.034719,0.012945,0.016605,0.044000,0.000000,0.000001,0.000000,0.000719,0.002954,0.000000,0.009470,0.000000,0.149874,0.121766,0.082719,0.100601,0.066919,0.041608,0.180709,0.053282,1.000000
10.1.9.2,0.000000,0.000000,0.000000,0.006542,0.000019,0.000000,0.000000,0.000000,0.000092,0.000000,0.000602,0.000009,0.000041,0.000323,0.004242,0.015448,0.025893,0.019941,0.006102,0.046308,0.011466,0.034709,0.008288,0.000001,0.000000,0.001103,0.000162,0.001854,0.000004,0.002793,0.000000,0.154750,0.126851,0.040481,0.101845,0.189228,0.066377,0.082483,0.052042,1.000000
10.1.10.2,0.000000,0.000000,0.000000,0.001335,0.000000,0.000000,0.000001,0.000005,0.000000,0.000000,0.000031,0.002651,0.000000,0.000710,0.000069,0.010646,0.005730,0.008298,0.025269,0.044958,0.018981,0.033703,0.013995,0.000013,0.000002,0.000157,0.000337,0.006978,0.000000,0.004752,0.000000,0.053610,0.041248,0.082693,0.102184,0.125821,0.155927,0.067597,0.192299,1.000000
10.1.11.2,0.000113,0.000000,0.000025,0.007106,0.000000,0.000000,0.000000,0.000000,0.000005,0.000000,0.000000,0.000001,0.000054,0.001569,0.002855,0.044152,0.033268,0.008713,0.014665,0.010752,0.019463,0.006243,0.025766,0.000000,0.000000,0.000002,0.000011,0.004982,0.000818,0.000233,0.000451,0.067212,0.157058,0.188183,0.101991,0.052744,0.040511,0.083592,0.127463,1.000000
10.1.12.2,0.000024,0.000001,0.000000,0.001772,0.000129,0.000000,0.000000,0.000925,0.000056,0.000004,0.000000,0.000010,0.000000,0.000512,0.005935,0.014598,0.044012,0.025742,0.005971,0.033609,0.011711,0.019719,0.008483,0.000000,0.000000,0.000000,0.002957,0.005262,0.000268,0.000000,0.000002,0.067006,0.124922,0.083996,0.101748,0.040714,0.053270,0.191587,0.155056,1.000000
10.1.13.2,0.000000,0.000000,0.000000,0.001007,0.000133,0.000000,0.001922,0.000529,0.000265,0.000000,0.000004,0.000000,0.000002,0.008714,0.000001,0.033880,0.009073,0.016221,0.027029,0.012246,0.044121,0.006539,0.020479,0.000008,0.000000,0.000065,0.000016,0.005159,0.000000,0.000032,0.003474,0.053401,0.082139,0.154128,0.041128,0.124692,0.100690,0.186637,0.066268,1.000000
10.1.14.2,0.000000,0.000000,0.007587,0.004944,0.000000,0.000089,0.000000,0.001250,0.000017,0.000373,0.000000,0.000003,0.000000,0.002049,0.000000,0.016376,0.021221,0.034638,0.008888,0.028410,0.043908,0.012196,0.006385,0.000000,0.000000,0.000040,0.000712,0.003015,0.000194,0.000001,0.000007,0.150167,0.067434,0.101655,0.041149,0.084241,0.184799,0.053292,0.124959,1.000000
