 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,Suma
10.1.1.2,0.000000,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.005803,0.000030,0.000375,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.143740,0.046647,0.247383,0.013119,0.424681,0.006599,0.025752,0.085064,1.000000
10.1.2.2,0.000019,0.000000,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000220,0.000019,0.003572,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.248225,0.070708,0.468791,0.018894,0.137960,0.009388,0.037222,0.004497,1.000000
10.1.3.2,0.000012,0.000012,0.000000,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.004609,0.000012,0.000012,0.000012,0.000729,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.442109,0.042043,0.022365,0.005638,0.078153,0.252515,0.011672,0.139838,1.000000
10.1.4.2,0.000010,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000884,0.004908,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.254095,0.080041,0.005686,0.022497,0.043970,0.011466,0.436734,0.139453,1.000000
10.1.5.2,0.000027,0.000027,0.000027,0.000027,0.000000,0.000027,0.000027,0.000027,0.000027,0.000027,0.000027,0.000027,0.000027,0.000027,0.000027,0.000027,0.004623,0.000027,0.000182,0.000027,0.000027,0.000027,0.000027,0.000027,0.000027,0.000027,0.000027,0.000027,0.000027,0.000027,0.000027,0.435650,0.022913,0.079752,0.042675,0.011939,0.247318,0.148427,0.005763,1.000000
10.1.6.2,0.000020,0.000020,0.000020,0.000020,0.000020,0.000000,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.005054,0.000020,0.000545,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.440293,0.253357,0.012081,0.006241,0.078056,0.041837,0.139009,0.022969,1.000000
10.1.7.2,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000000,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.004312,0.000011,0.000674,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.249438,0.022411,0.146720,0.439185,0.042034,0.078572,0.005306,0.011034,1.000000
10.1.8.2,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000000,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.006194,0.000542,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.430985,0.079885,0.042878,0.147479,0.249512,0.012308,0.022969,0.006465,1.000000
10.1.9.2,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000000,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000986,0.006473,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.426545,0.144700,0.046832,0.013644,0.007102,0.247476,0.080270,0.025481,1.000000
10.1.10.2,0.000008,0.000008,0.000008,0.000008,0.000008,0.000008,0.000008,0.000008,0.000008,0.000000,0.000008,0.000008,0.000008,0.000008,0.000008,0.000008,0.000008,0.000008,0.000008,0.004814,0.000008,0.000008,0.000008,0.000900,0.000008,0.000008,0.000008,0.000008,0.000008,0.000008,0.000008,0.254159,0.073974,0.450168,0.039427,0.138644,0.021022,0.010875,0.005782,1.000000
10.1.11.2,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000000,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000788,0.000028,0.000028,0.000028,0.007112,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.000028,0.250330,0.025341,0.424474,0.143435,0.007517,0.046097,0.013691,0.080445,1.000000
10.1.12.2,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000000,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.006093,0.000015,0.000968,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.000015,0.249662,0.439851,0.012119,0.142152,0.006428,0.077226,0.042321,0.022749,1.000000
10.1.13.2,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,0.000010,0.001030,0.000010,0.000010,0.000010,0.000010,0.005627,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.246564,0.012652,0.079888,0.023865,0.043795,0.432279,0.006771,0.147236,1.000000
10.1.14.2,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016,0.000000,0.000016,0.000016,0.000016,0.000833,0.000016,0.000016,0.000016,0.000016,0.005568,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016,0.254022,0.013788,0.081837,0.144387,0.027166,0.006756,0.045310,0.419897,1.000000
10.1.15.2,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000000,0.000011,0.000011,0.000011,0.006041,0.000011,0.001107,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.421549,0.143277,0.025860,0.080140,0.046642,0.253810,0.007047,0.014213,1.000000
