 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,Suma
10.1.1.2,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000034,0.000287,0.001002,0.006655,0.000540,0.003103,0.001703,0.000075,0.016473,0.046924,0.009705,0.007495,0.036389,0.012977,0.027894,0.021438,0.000168,0.000000,0.000014,0.005597,0.000002,0.000000,0.005536,0.000005,0.066724,0.081619,0.181697,0.053162,0.100836,0.148320,0.041878,0.121745,1.000000
10.1.2.2,0.000005,0.000000,0.000000,0.000000,0.000011,0.000000,0.000000,0.000707,0.000209,0.003081,0.001881,0.004672,0.007522,0.001241,0.000374,0.008184,0.010615,0.017862,0.035341,0.014010,0.029329,0.022894,0.044119,0.000023,0.000000,0.012144,0.000001,0.000002,0.000048,0.000000,0.000101,0.122016,0.053347,0.099893,0.041687,0.066563,0.081862,0.146606,0.173651,1.000000
10.1.3.2,0.000000,0.000000,0.000000,0.000000,0.000126,0.000000,0.000007,0.006344,0.000376,0.001163,0.000030,0.000227,0.004748,0.009422,0.002050,0.022456,0.035793,0.028064,0.013704,0.042776,0.007857,0.017747,0.010338,0.003437,0.000015,0.000003,0.000001,0.000063,0.000000,0.000000,0.000652,0.080277,0.066911,0.047688,0.175786,0.097143,0.119886,0.145677,0.059234,1.000000
10.1.4.2,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.004062,0.000004,0.000191,0.001261,0.000746,0.000104,0.006921,0.000023,0.002306,0.007226,0.009679,0.028155,0.047087,0.013012,0.021501,0.036699,0.016870,0.000048,0.000000,0.000002,0.000380,0.000000,0.000000,0.009460,0.000010,0.066423,0.082436,0.178705,0.122201,0.054183,0.148587,0.041884,0.099833,1.000000
10.1.5.2,0.000000,0.000000,0.000395,0.000000,0.000000,0.000000,0.000000,0.000111,0.009419,0.003618,0.001191,0.000669,0.002134,0.000028,0.000222,0.010360,0.021039,0.016704,0.013292,0.066619,0.007710,0.033736,0.026876,0.000057,0.000003,0.000000,0.006438,0.004482,0.000015,0.000001,0.000008,0.052758,0.175568,0.098900,0.079770,0.063399,0.143987,0.117887,0.042604,1.000000
10.1.7.2,0.000003,0.000001,0.000000,0.000000,0.000007,0.000000,0.000000,0.000032,0.003050,0.003940,0.005998,0.000680,0.000124,0.000064,0.007902,0.012912,0.027797,0.007269,0.035965,0.022000,0.009823,0.016865,0.045162,0.001912,0.000213,0.000000,0.000015,0.000393,0.001172,0.000000,0.000000,0.066704,0.052918,0.148162,0.181613,0.082719,0.101451,0.042009,0.121125,1.000000
10.1.8.2,0.000000,0.000000,0.000005,0.000229,0.000011,0.000000,0.000000,0.001941,0.000021,0.001166,0.000731,0.000038,0.004586,0.003221,0.000069,0.010655,0.028433,0.035264,0.007749,0.043739,0.014094,0.018136,0.023584,0.000125,0.009902,0.000000,0.000404,0.000000,0.000001,0.007141,0.000002,0.081887,0.053348,0.121205,0.178381,0.041390,0.146284,0.099766,0.066493,1.000000
10.1.9.2,0.000000,0.000000,0.004230,0.000000,0.000001,0.000000,0.000679,0.000000,0.001059,0.000312,0.000023,0.000010,0.003290,0.000000,0.000000,0.008323,0.006243,0.014758,0.011210,0.044395,0.034742,0.019805,0.026330,0.002028,0.000000,0.000004,0.000000,0.000058,0.000001,0.006400,0.000138,0.067704,0.053609,0.082975,0.100490,0.124777,0.041058,0.190116,0.155229,1.000000
10.1.10.2,0.000000,0.000000,0.000000,0.000000,0.005365,0.000001,0.000000,0.003747,0.000000,0.001149,0.000251,0.000008,0.000003,0.000000,0.000020,0.023403,0.012640,0.029760,0.017160,0.004735,0.009219,0.040216,0.006854,0.002327,0.000000,0.000000,0.000552,0.000000,0.000049,0.000111,0.000000,0.052855,0.101787,0.061316,0.062826,0.081785,0.159941,0.127450,0.194470,1.000000
10.1.11.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.004103,0.000000,0.000000,0.001988,0.000000,0.000001,0.000077,0.000004,0.000012,0.000953,0.010492,0.043771,0.013656,0.005374,0.007546,0.018230,0.024196,0.032815,0.000437,0.000000,0.000000,0.000000,0.000000,0.000031,0.000187,0.006720,0.065959,0.040212,0.157421,0.083459,0.104157,0.052547,0.128735,0.196917,1.000000
10.1.12.2,0.003803,0.000000,0.000000,0.000000,0.000000,0.001159,0.000000,0.000031,0.000153,0.000070,0.000000,0.000001,0.000002,0.000013,0.000338,0.007487,0.020295,0.005149,0.024809,0.045068,0.033687,0.014521,0.010596,0.002159,0.000000,0.000005,0.000673,0.000000,0.000000,0.005852,0.000000,0.052231,0.127464,0.196280,0.065626,0.082602,0.039507,0.157534,0.102888,1.000000
10.1.13.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000054,0.000882,0.000021,0.000000,0.005892,0.000140,0.003887,0.022947,0.041223,0.006726,0.017493,0.013118,0.004664,0.055552,0.009414,0.001905,0.000349,0.000008,0.000001,0.000000,0.000003,0.000000,0.000000,0.064289,0.081642,0.030335,0.050200,0.128121,0.102101,0.159529,0.199505,1.000000
10.1.14.2,0.000881,0.000000,0.000057,0.000000,0.000000,0.000000,0.000008,0.001660,0.000000,0.000148,0.000000,0.006077,0.000000,0.000001,0.000357,0.011991,0.068657,0.006364,0.008600,0.051306,0.004505,0.020985,0.016570,0.003349,0.000000,0.000000,0.000000,0.000000,0.000003,0.000000,0.000023,0.104376,0.126593,0.038360,0.083563,0.195538,0.063993,0.157625,0.028407,1.000000
10.1.15.2,0.000135,0.000000,0.001110,0.000000,0.000000,0.000000,0.000030,0.000000,0.000000,0.000006,0.000014,0.000064,0.000001,0.000000,0.000562,0.016968,0.004804,0.006806,0.022851,0.012621,0.030775,0.009480,0.037942,0.004042,0.000000,0.000000,0.000000,0.000274,0.006353,0.002177,0.000003,0.049470,0.160239,0.059277,0.071145,0.127685,0.079905,0.101506,0.193751,1.000000
10.1.16.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.005833,0.000262,0.000000,0.000002,0.000024,0.000000,0.001190,0.000565,0.000053,0.000000,0.013496,0.023398,0.031508,0.009867,0.005182,0.007392,0.017994,0.053418,0.000118,0.005152,0.000005,0.000000,0.000001,0.000013,0.000000,0.002555,0.041844,0.083079,0.191816,0.127555,0.050880,0.102561,0.066081,0.158159,1.000000
10.1.17.2,0.000087,0.000000,0.000000,0.000000,0.000002,0.000000,0.000009,0.000000,0.000000,0.000001,0.000000,0.000244,0.000000,0.000000,0.000000,0.000000,0.001727,0.000865,0.006536,0.020041,0.011916,0.000439,0.003433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000028,0.000000,0.103599,0.023034,0.048784,0.151263,0.036044,0.216390,0.303464,0.072095,1.000000
10.1.18.2,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000002,0.000000,0.000000,0.000000,0.000011,0.000026,0.000139,0.000000,0.000308,0.002055,0.000000,0.007321,0.021164,0.000552,0.012342,0.001084,0.003848,0.000000,0.000000,0.000000,0.000063,0.000005,0.000000,0.000000,0.000000,0.073499,0.058819,0.030969,0.281058,0.147233,0.207179,0.104778,0.047543,1.000000
10.1.19.2,0.000012,0.000000,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000244,0.000536,0.000000,0.009054,0.001234,0.017147,0.031577,0.002219,0.000000,0.000041,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.004539,0.305336,0.149609,0.033489,0.215715,0.104266,0.051502,0.073353,1.000000
10.1.20.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000000,0.000069,0.000000,0.000024,0.000000,0.000000,0.000000,0.000000,0.032811,0.000343,0.009653,0.000000,0.004940,0.000668,0.001307,0.002553,0.000000,0.000001,0.000000,0.000009,0.000194,0.000000,0.000000,0.000000,0.017789,0.053463,0.210075,0.034804,0.075790,0.293435,0.149780,0.112287,1.000000
10.1.21.2,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000037,0.000000,0.000000,0.000000,0.000093,0.000759,0.002897,0.010963,0.001513,0.000000,0.000168,0.000366,0.021350,0.000000,0.000000,0.000000,0.000005,0.000000,0.000000,0.000013,0.000000,0.005792,0.154047,0.224121,0.330227,0.103222,0.067126,0.042891,0.034410,1.000000
10.1.22.2,0.000000,0.000000,0.000002,0.000000,0.000000,0.000008,0.000000,0.000000,0.000001,0.000000,0.000130,0.000000,0.000051,0.000000,0.000305,0.004423,0.014468,0.002286,0.001355,0.007984,0.000000,0.026263,0.000613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000022,0.000000,0.000000,0.035175,0.105782,0.206044,0.073750,0.292656,0.051189,0.026723,0.150771,1.000000
10.1.23.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000010,0.000000,0.000028,0.000000,0.000071,0.000150,0.005769,0.021554,0.002856,0.000336,0.000746,0.000000,0.011170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000000,0.001385,0.042555,0.034600,0.066169,0.242945,0.156898,0.102946,0.309805,1.000000
