 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,Suma
10.1.1.2,0.000000,0.000000,0.000000,0.000094,0.000000,0.000010,0.000045,0.000000,0.006938,0.005142,0.003438,0.001948,0.000005,0.000597,0.006636,0.000021,0.045998,0.028063,0.022080,0.035746,0.010026,0.017313,0.013182,0.007717,0.000000,0.000329,0.000002,0.000193,0.000000,0.001064,0.000001,0.099704,0.148696,0.065971,0.179959,0.042191,0.121389,0.053562,0.081941,1.000000
10.1.2.2,0.000007,0.000000,0.000000,0.000002,0.000012,0.000001,0.000438,0.000111,0.003258,0.001297,0.004973,0.000053,0.000230,0.000757,0.006630,0.007835,0.010515,0.035630,0.017944,0.045722,0.028341,0.022076,0.013752,0.007806,0.000000,0.002021,0.000000,0.000000,0.000025,0.000000,0.000000,0.178829,0.053802,0.121591,0.067181,0.041703,0.099553,0.081372,0.146533,1.000000
10.1.3.2,0.000000,0.000000,0.000000,0.000000,0.000006,0.002007,0.000322,0.000000,0.007337,0.003421,0.000592,0.000174,0.000029,0.005944,0.006666,0.001093,0.010649,0.027980,0.013959,0.007884,0.035769,0.022571,0.017489,0.045434,0.000000,0.000049,0.000015,0.000096,0.000000,0.000002,0.000000,0.120545,0.177731,0.144828,0.101644,0.067362,0.082759,0.053793,0.041849,1.000000
10.1.4.2,0.000002,0.000000,0.000000,0.000000,0.000063,0.000000,0.000387,0.000000,0.002035,0.007564,0.000703,0.000120,0.004816,0.000013,0.006670,0.000203,0.038084,0.013671,0.022719,0.007806,0.029476,0.010411,0.017885,0.046447,0.000000,0.001220,0.003411,0.000000,0.000006,0.000001,0.000028,0.119890,0.146326,0.177643,0.098698,0.065785,0.081569,0.042641,0.053707,1.000000
10.1.5.2,0.000002,0.000000,0.000000,0.000010,0.000000,0.000004,0.000464,0.000000,0.005645,0.006150,0.001824,0.000239,0.000125,0.000057,0.006708,0.000921,0.007640,0.017112,0.021686,0.035342,0.028074,0.010296,0.013008,0.044676,0.000000,0.003292,0.000000,0.000000,0.000000,0.000024,0.000000,0.179140,0.053572,0.067320,0.041584,0.100361,0.122098,0.082619,0.150006,1.000000
10.1.6.2,0.000031,0.000000,0.000244,0.000000,0.000007,0.000000,0.000477,0.000000,0.002949,0.000003,0.008122,0.004948,0.000001,0.000948,0.005989,0.001814,0.010151,0.017744,0.044087,0.021178,0.035512,0.007800,0.027595,0.013515,0.000000,0.000061,0.000000,0.000000,0.000014,0.000000,0.000121,0.181328,0.041838,0.082055,0.148684,0.121733,0.066620,0.100757,0.053675,1.000000
10.1.7.2,0.000000,0.000001,0.000000,0.000003,0.000016,0.000000,0.000000,0.000007,0.002196,0.004535,0.000856,0.000545,0.006526,0.003501,0.007122,0.001403,0.010529,0.027914,0.017123,0.013915,0.045621,0.022326,0.007863,0.035777,0.000000,0.000318,0.000171,0.000037,0.000000,0.000080,0.000000,0.067203,0.053556,0.148633,0.081636,0.121299,0.041859,0.178697,0.098731,1.000000
10.1.8.2,0.000000,0.000002,0.000000,0.000017,0.000006,0.000000,0.000843,0.000000,0.002279,0.004610,0.003696,0.000159,0.000289,0.006401,0.007417,0.000512,0.035442,0.045344,0.016852,0.010073,0.027986,0.013216,0.021712,0.007670,0.000000,0.001392,0.000042,0.000001,0.000000,0.000000,0.000087,0.179011,0.146602,0.044276,0.066123,0.122993,0.100110,0.053098,0.081737,1.000000
10.1.9.2,0.001989,0.000001,0.005100,0.000000,0.000000,0.000000,0.003068,0.000290,0.000000,0.000000,0.001066,0.000015,0.000549,0.000003,0.004869,0.000144,0.006183,0.015410,0.008357,0.035286,0.027359,0.046535,0.011533,0.020172,0.000000,0.000072,0.000034,0.000006,0.000000,0.000000,0.000000,0.101454,0.065591,0.082065,0.041407,0.052865,0.125769,0.187597,0.155209,1.000000
10.1.10.2,0.000001,0.000000,0.000000,0.000178,0.003929,0.000000,0.001190,0.000092,0.000021,0.000000,0.000044,0.000002,0.000000,0.000000,0.005720,0.000000,0.034395,0.012775,0.026641,0.016356,0.009288,0.006754,0.040445,0.020522,0.000338,0.000005,0.000633,0.002140,0.005247,0.000010,0.000000,0.154454,0.066965,0.185962,0.052988,0.102414,0.040808,0.126848,0.082834,1.000000
10.1.11.2,0.000000,0.000030,0.000000,0.000000,0.000000,0.000000,0.000208,0.000000,0.002846,0.000001,0.000000,0.000551,0.001203,0.000079,0.004016,0.000003,0.024005,0.013003,0.009633,0.043966,0.017617,0.004770,0.032930,0.006860,0.000000,0.004077,0.000000,0.000010,0.000000,0.000000,0.000000,0.064998,0.103940,0.162933,0.051774,0.196805,0.131102,0.039747,0.082893,1.000000
10.1.12.2,0.000006,0.000000,0.000000,0.000000,0.000000,0.000016,0.000204,0.000000,0.003962,0.000093,0.000452,0.000000,0.000001,0.000003,0.005037,0.001897,0.019807,0.034180,0.014769,0.025677,0.008015,0.010916,0.045036,0.005780,0.000000,0.000945,0.000038,0.000000,0.000000,0.000000,0.005631,0.066515,0.053584,0.100864,0.125999,0.041409,0.190716,0.155487,0.082959,1.000000
10.1.13.2,0.000000,0.000000,0.000000,0.002796,0.000000,0.000000,0.000960,0.000039,0.000304,0.000001,0.000577,0.000007,0.000000,0.000016,0.004289,0.000153,0.010917,0.026639,0.007845,0.034870,0.014935,0.020272,0.046926,0.005579,0.000072,0.001602,0.000003,0.000000,0.004291,0.000000,0.000000,0.127289,0.188746,0.066263,0.052511,0.082009,0.157562,0.102310,0.040217,1.000000
10.1.14.2,0.000005,0.000000,0.000000,0.000000,0.000000,0.000001,0.000184,0.000002,0.000374,0.000000,0.000774,0.000091,0.000035,0.000000,0.004967,0.000013,0.026415,0.007861,0.010666,0.019769,0.006010,0.014573,0.033904,0.045367,0.000000,0.005815,0.000000,0.000000,0.003187,0.001637,0.000000,0.125916,0.155569,0.193035,0.082449,0.066241,0.101396,0.052819,0.040925,1.000000
10.1.15.2,0.000000,0.000001,0.000004,0.000008,0.000000,0.000016,0.000138,0.000000,0.003482,0.000033,0.006417,0.008199,0.000532,0.000068,0.000000,0.001021,0.012276,0.009130,0.044771,0.020866,0.026817,0.034857,0.016024,0.006562,0.000002,0.000281,0.001905,0.000000,0.000000,0.000000,0.000000,0.081407,0.041201,0.100649,0.124497,0.152061,0.066688,0.053629,0.186456,1.000000
10.1.16.2,0.000000,0.000170,0.000078,0.000000,0.000000,0.000000,0.001745,0.000001,0.003686,0.000000,0.000035,0.000375,0.000803,0.000000,0.004452,0.000000,0.025861,0.020211,0.014685,0.034610,0.005501,0.010570,0.007679,0.046274,0.000000,0.003597,0.000007,0.000000,0.000000,0.000003,0.000016,0.052711,0.191374,0.126920,0.083634,0.066304,0.040298,0.155393,0.103007,1.000000
