 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,Suma
10.1.1.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000000,0.000001,0.000000,0.000000,0.000051,0.000114,0.000229,0.018338,0.002150,0.004509,0.000500,0.009062,0.001058,0.000000,0.000020,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.044444,0.018188,0.103706,0.028710,0.329149,0.220134,0.151421,0.068203,1.000000
10.1.2.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,0.000000,0.000032,0.000000,0.000000,0.000093,0.000000,0.000004,0.000000,0.000000,0.000000,0.000379,0.003883,0.008058,0.001793,0.000817,0.017042,0.000177,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.043010,0.028098,0.065287,0.151402,0.228166,0.332868,0.017334,0.101545,1.000000
10.1.3.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000033,0.000000,0.000075,0.000000,0.000001,0.000000,0.000000,0.000000,0.000011,0.000360,0.008155,0.003755,0.001723,0.000814,0.000158,0.017764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.337807,0.017407,0.150723,0.042831,0.228151,0.064535,0.098262,0.027432,1.000000
10.1.4.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000148,0.000002,0.000028,0.000063,0.000012,0.000000,0.000005,0.000001,0.000000,0.000000,0.010200,0.000566,0.020023,0.000278,0.002443,0.004985,0.001176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019576,0.067986,0.325042,0.101656,0.030641,0.148752,0.046993,0.219424,1.000000
10.1.5.2,0.000000,0.000000,0.000001,0.000037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000014,0.000000,0.000000,0.000000,0.000093,0.008033,0.016732,0.003771,0.000827,0.000382,0.001787,0.000176,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.151274,0.027358,0.043018,0.101357,0.337450,0.223497,0.067075,0.017111,1.000000
10.1.6.2,0.000000,0.000053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.000001,0.000000,0.000000,0.000002,0.000000,0.000019,0.000000,0.000494,0.001074,0.002233,0.000228,0.004591,0.019563,0.009603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000115,0.000000,0.000000,0.046516,0.031047,0.218974,0.326159,0.068505,0.019556,0.150408,0.100849,1.000000
10.1.7.2,0.000000,0.000000,0.000000,0.000111,0.000024,0.000000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000000,0.000241,0.019037,0.000516,0.002246,0.004679,0.001078,0.009302,0.000000,0.000000,0.000060,0.000000,0.000001,0.000000,0.000000,0.000000,0.029577,0.070560,0.150225,0.102108,0.223307,0.321303,0.046250,0.019365,1.000000
10.1.8.2,0.000000,0.000000,0.000059,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000000,0.000001,0.000000,0.000000,0.000233,0.019256,0.001028,0.000493,0.004512,0.009381,0.002159,0.000000,0.000122,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.223437,0.332280,0.028959,0.018669,0.065833,0.043120,0.100142,0.150281,1.000000
10.1.9.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,0.000000,0.000000,0.001163,0.000076,0.006872,0.002852,0.000198,0.015548,0.000470,0.000000,0.000000,0.000000,0.000000,0.000033,0.000000,0.000000,0.000003,0.355975,0.039910,0.025957,0.063524,0.094532,0.015962,0.229155,0.147756,1.000000
10.1.10.2,0.000000,0.000000,0.000030,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007645,0.003530,0.016665,0.001595,0.000150,0.000326,0.000724,0.000000,0.000000,0.000001,0.000078,0.000000,0.000011,0.000000,0.000000,0.042069,0.066180,0.226989,0.017348,0.340267,0.150334,0.098670,0.027387,1.000000
