 ,10.1.1.2,10.1.2.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,Suma
10.1.1.2,0.000000,0.000000,0.000000,0.000495,0.001303,0.000000,0.000000,0.000188,0.000008,0.004881,0.000083,0.000003,0.005596,0.000026,0.003184,0.018947,0.044345,0.025758,0.010380,0.005604,0.014126,0.033472,0.007595,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.102987,0.128514,0.054292,0.155372,0.193716,0.065446,0.081831,0.041849,1.000000
10.1.2.2,0.000000,0.000000,0.000000,0.000312,0.000001,0.000000,0.000000,0.001093,0.000006,0.001859,0.000000,0.000025,0.004286,0.003189,0.000090,0.004417,0.016819,0.006312,0.032631,0.012080,0.044711,0.023526,0.008731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067305,0.131318,0.163266,0.052811,0.197039,0.040029,0.103731,0.084410,1.000000
10.1.4.2,0.000000,0.000000,0.000000,0.000223,0.000032,0.000000,0.000000,0.002967,0.000578,0.004328,0.000013,0.001365,0.005087,0.000004,0.000085,0.024941,0.014995,0.044118,0.010720,0.033862,0.007619,0.005393,0.018872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.193043,0.158521,0.128202,0.052661,0.081588,0.040780,0.067278,0.102723,1.000000
10.1.5.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000000,0.000426,0.003614,0.003096,0.000919,0.001893,0.005009,0.000090,0.000220,0.024924,0.010622,0.019638,0.044976,0.007764,0.033541,0.005583,0.014651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,0.000033,0.066140,0.158217,0.039762,0.128528,0.082415,0.052209,0.102864,0.192855,1.000000
10.1.6.2,0.000000,0.000048,0.001359,0.000000,0.000000,0.000001,0.000000,0.000004,0.000000,0.000571,0.000173,0.002458,0.002708,0.000014,0.000000,0.032727,0.010847,0.023051,0.042930,0.005184,0.007729,0.015888,0.003447,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.103668,0.081546,0.211873,0.167114,0.051646,0.064338,0.038796,0.131880,1.000000
10.1.7.2,0.000000,0.000000,0.000014,0.000884,0.000001,0.000000,0.000000,0.000364,0.000000,0.003580,0.001784,0.000000,0.003862,0.000133,0.000003,0.018061,0.034453,0.024788,0.006287,0.042800,0.004313,0.012796,0.009080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000040,0.000000,0.000000,0.130047,0.103299,0.163703,0.081934,0.065534,0.039657,0.201375,0.051208,1.000000
10.1.8.2,0.000000,0.000000,0.000000,0.000003,0.000000,0.000388,0.000000,0.001098,0.000038,0.002252,0.000001,0.000120,0.004487,0.000011,0.002892,0.017219,0.044046,0.004527,0.032002,0.009252,0.012467,0.006671,0.023732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.199933,0.104828,0.050665,0.065523,0.131182,0.039667,0.083217,0.163782,1.000000
10.1.9.2,0.000000,0.000000,0.000373,0.000046,0.000000,0.000000,0.000000,0.000000,0.000000,0.001025,0.000142,0.000000,0.002429,0.000000,0.000000,0.004532,0.029814,0.006820,0.043581,0.002896,0.020453,0.014580,0.010090,0.000000,0.000015,0.001877,0.000001,0.000000,0.000005,0.000000,0.000000,0.065397,0.211023,0.168710,0.049950,0.108224,0.084591,0.037074,0.136350,1.000000
10.1.10.2,0.000000,0.000000,0.000000,0.002347,0.000000,0.000000,0.000000,0.000013,0.000000,0.001196,0.000001,0.000000,0.002797,0.000189,0.000000,0.003296,0.030160,0.005064,0.021237,0.042857,0.007510,0.010358,0.014813,0.000000,0.000000,0.000000,0.000003,0.000000,0.000510,0.000056,0.000000,0.083344,0.064265,0.133933,0.104862,0.049481,0.215571,0.168647,0.037492,1.000000
10.1.11.2,0.000000,0.000000,0.000185,0.000474,0.000000,0.000000,0.000000,0.000020,0.003281,0.000000,0.000000,0.000059,0.003291,0.000005,0.001238,0.022774,0.016258,0.011347,0.043247,0.008034,0.003947,0.032297,0.005862,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.083406,0.208152,0.164955,0.130481,0.051499,0.104145,0.065820,0.039222,1.000000
10.1.12.2,0.000000,0.000000,0.000000,0.000226,0.000614,0.000025,0.000000,0.000005,0.001628,0.000098,0.000000,0.000000,0.002398,0.000000,0.000000,0.014294,0.021075,0.006935,0.030649,0.009931,0.004592,0.041067,0.003162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000994,0.084671,0.108159,0.039328,0.134548,0.207589,0.171629,0.066306,0.050076,1.000000
10.1.13.2,0.000000,0.000000,0.000000,0.001036,0.000006,0.000000,0.000000,0.000002,0.000000,0.000410,0.000000,0.000000,0.002896,0.000000,0.000000,0.007807,0.029184,0.010484,0.021511,0.005122,0.003255,0.014875,0.039966,0.000021,0.000000,0.001916,0.000000,0.000000,0.000062,0.000191,0.000000,0.170373,0.136603,0.037280,0.212116,0.105915,0.049904,0.065048,0.084015,1.000000
10.1.14.2,0.000000,0.000000,0.000000,0.000037,0.002906,0.000000,0.000000,0.000329,0.001433,0.000111,0.003983,0.000001,0.000000,0.000675,0.000004,0.011972,0.032137,0.023504,0.003982,0.044947,0.008297,0.005833,0.016963,0.000014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039398,0.204456,0.066319,0.051307,0.130279,0.163575,0.105171,0.082368,1.000000
10.1.15.2,0.000000,0.003245,0.000000,0.000258,0.000000,0.000000,0.000000,0.000004,0.000603,0.001439,0.000037,0.000013,0.003206,0.000000,0.000098,0.012281,0.005938,0.016243,0.041872,0.030527,0.008423,0.004025,0.021711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.106198,0.083203,0.066841,0.206094,0.135412,0.051612,0.162160,0.038555,1.000000
10.1.16.2,0.000000,0.000000,0.000000,0.000013,0.000000,0.000000,0.001684,0.000003,0.000000,0.000753,0.000000,0.000000,0.002254,0.000050,0.000000,0.022097,0.004290,0.040714,0.006439,0.030013,0.009658,0.014552,0.002764,0.000000,0.000000,0.000000,0.000000,0.000295,0.000000,0.000109,0.000000,0.218055,0.171945,0.105616,0.064624,0.135349,0.082946,0.036691,0.049086,1.000000
10.1.17.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000020,0.000000,0.000000,0.000006,0.000000,0.000000,0.000002,0.000000,0.008702,0.000941,0.003988,0.017707,0.001821,0.000372,0.000150,0.000000,0.000000,0.000000,0.000064,0.000000,0.000000,0.000000,0.000000,0.019135,0.220671,0.147989,0.067315,0.050207,0.101595,0.031603,0.327710,1.000000
10.1.18.2,0.000000,0.000000,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000089,0.000000,0.000000,0.000000,0.000000,0.004191,0.000000,0.000875,0.018634,0.001918,0.008737,0.000401,0.000206,0.000028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.320203,0.149674,0.069385,0.050301,0.019755,0.103160,0.031469,0.220967,1.000000
10.1.19.2,0.000000,0.000000,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.000029,0.000000,0.000001,0.000000,0.000000,0.000466,0.009377,0.000000,0.000194,0.000963,0.004397,0.019983,0.002027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.306400,0.046269,0.030091,0.070153,0.020667,0.106121,0.161004,0.221746,1.000000
10.1.20.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000022,0.000080,0.000006,0.000000,0.000000,0.000000,0.010081,0.002275,0.000184,0.000000,0.001002,0.021177,0.004744,0.000490,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048812,0.321380,0.021236,0.068117,0.100607,0.219059,0.031449,0.149277,1.000000
10.1.21.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,0.000009,0.000003,0.000000,0.000000,0.004071,0.000414,0.001954,0.000975,0.000000,0.017799,0.008435,0.000181,0.000000,0.000000,0.000000,0.000069,0.000000,0.000000,0.000000,0.000001,0.046027,0.068251,0.323087,0.158399,0.019049,0.029936,0.103350,0.217963,1.000000
10.1.22.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,0.000000,0.000038,0.000001,0.000000,0.000000,0.000000,0.000647,0.003201,0.006882,0.000088,0.000244,0.000000,0.014806,0.001653,0.000000,0.000000,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.156716,0.238048,0.041809,0.016151,0.101823,0.026779,0.066899,0.324201,1.000000
10.1.23.2,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000029,0.000000,0.000008,0.000098,0.000000,0.000000,0.000000,0.000406,0.001852,0.008433,0.000204,0.003929,0.018025,0.000000,0.000856,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.227625,0.044061,0.068162,0.156530,0.318667,0.103917,0.028855,0.018338,1.000000
