 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,Suma
10.1.1.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,0.000076,0.006514,0.001563,0.000000,0.000000,0.000350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.051215,0.011570,0.150209,0.085714,0.028451,0.241950,0.406844,0.015525,1.000000
10.1.2.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.014807,0.000174,0.000024,0.000000,0.000003,0.000000,0.000791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.148496,0.003540,0.257305,0.015048,0.050468,0.395463,0.086382,0.027488,1.000000
10.1.3.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000068,0.000366,0.000010,0.001718,0.000000,0.000002,0.006339,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.140715,0.246371,0.008665,0.045948,0.016038,0.082053,0.026515,0.425184,1.000000
10.1.4.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000115,0.000528,0.000000,0.002410,0.000020,0.000000,0.008278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008787,0.246059,0.401462,0.028813,0.016575,0.087624,0.149289,0.050035,1.000000
10.1.5.2,0.000003,0.000003,0.000003,0.000003,0.000000,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.001650,0.000273,0.000003,0.000046,0.008088,0.000003,0.000008,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.007803,0.045737,0.014242,0.025469,0.256043,0.413444,0.145070,0.082064,1.000000
10.1.6.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000101,0.000000,0.000002,0.002009,0.000021,0.000000,0.000000,0.007120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.245889,0.000485,0.085235,0.027196,0.408955,0.147817,0.027325,0.047841,1.000000
10.1.7.2,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000000,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.005625,0.000011,0.000024,0.000011,0.000123,0.000901,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.022940,0.249162,0.005995,0.136878,0.449037,0.075229,0.041988,0.011823,1.000000
10.1.8.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,0.010530,0.000276,0.001014,0.000000,0.000066,0.000000,0.003597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018793,0.384354,0.032228,0.150026,0.010731,0.054731,0.093250,0.240388,1.000000
10.1.9.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000683,0.006928,0.000012,0.002367,0.000183,0.000000,0.000047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028651,0.012492,0.393933,0.088112,0.245971,0.016525,0.050349,0.153746,1.000000
10.1.10.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000194,0.000000,0.003700,0.000046,0.010658,0.000847,0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.391044,0.010613,0.148710,0.031660,0.088853,0.018675,0.054082,0.240910,1.000000
