 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.12.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,Suma
10.1.1.2,0.000000,0.000004,0.000000,0.000808,0.000000,0.000000,0.000000,0.000267,0.000093,0.000147,0.005483,0.003929,0.007272,0.000473,0.001835,0.001205,0.034019,0.020362,0.009467,0.055480,0.043723,0.007055,0.011961,0.026398,0.000010,0.002890,0.000000,0.000002,0.000043,0.000000,0.000021,0.081269,0.099943,0.182781,0.122686,0.064862,0.149113,0.050702,0.015696,1.000000
10.1.2.2,0.007059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000148,0.000000,0.002860,0.000047,0.000743,0.001786,0.008863,0.000081,0.004560,0.000457,0.028769,0.007864,0.036105,0.017633,0.045957,0.022407,0.013626,0.010706,0.000001,0.001220,0.000004,0.000025,0.000262,0.000000,0.000010,0.067379,0.146918,0.097934,0.178134,0.120378,0.082222,0.054036,0.041809,1.000000
10.1.3.2,0.000730,0.000002,0.000000,0.000000,0.000000,0.000006,0.000001,0.010161,0.000011,0.000094,0.001071,0.000381,0.004174,0.006702,0.002816,0.001726,0.021555,0.035454,0.010212,0.016894,0.012979,0.027666,0.044960,0.007495,0.000048,0.000191,0.000000,0.000000,0.000024,0.000000,0.000000,0.122668,0.176036,0.053611,0.041368,0.067064,0.101766,0.082921,0.149214,1.000000
10.1.4.2,0.000501,0.000000,0.000000,0.000000,0.000000,0.000002,0.000133,0.000013,0.000963,0.005053,0.007959,0.000061,0.001831,0.003241,0.006982,0.000291,0.028835,0.047201,0.013505,0.010324,0.036879,0.017707,0.007509,0.022444,0.000005,0.000000,0.000000,0.000000,0.000029,0.000000,0.000001,0.066523,0.080970,0.146630,0.120446,0.099880,0.178283,0.042096,0.053701,1.000000
10.1.5.2,0.000505,0.000000,0.000000,0.000243,0.000000,0.000001,0.000002,0.000000,0.000026,0.003545,0.000125,0.001851,0.000057,0.001036,0.011227,0.006749,0.021721,0.046270,0.016538,0.009566,0.012534,0.036254,0.007077,0.028187,0.000000,0.000012,0.000000,0.000000,0.000006,0.000000,0.000000,0.065710,0.100845,0.041882,0.052787,0.081831,0.179741,0.122819,0.150851,1.000000
10.1.6.2,0.007180,0.000000,0.000002,0.000283,0.000000,0.000000,0.000039,0.000000,0.001481,0.000018,0.000078,0.010816,0.000863,0.002552,0.000489,0.000157,0.035439,0.013489,0.010195,0.044989,0.017718,0.028149,0.021816,0.007455,0.000004,0.000008,0.000000,0.000000,0.004388,0.000000,0.000001,0.041615,0.146086,0.101307,0.082250,0.066870,0.176618,0.123775,0.053872,1.000000
10.1.7.2,0.000204,0.008639,0.000000,0.000001,0.000000,0.000000,0.000000,0.002529,0.000010,0.000053,0.006672,0.000002,0.000400,0.000004,0.004082,0.000119,0.016389,0.027915,0.044840,0.021382,0.012713,0.009529,0.035551,0.006846,0.000000,0.001428,0.000747,0.000000,0.000024,0.000000,0.000000,0.052970,0.122872,0.100261,0.182546,0.041570,0.151218,0.066651,0.081833,1.000000
10.1.8.2,0.000166,0.000004,0.000000,0.001180,0.000000,0.000000,0.000000,0.000000,0.003730,0.002163,0.000083,0.000046,0.009266,0.000614,0.005729,0.000009,0.007136,0.036183,0.021592,0.028124,0.045452,0.016685,0.009833,0.012596,0.000000,0.000000,0.000000,0.000001,0.000334,0.000000,0.000020,0.101879,0.052430,0.066277,0.148824,0.082342,0.122661,0.182403,0.042238,1.000000
10.1.9.2,0.000003,0.000192,0.000000,0.000639,0.000000,0.000000,0.000000,0.002225,0.000000,0.001201,0.000087,0.000018,0.000000,0.000039,0.004095,0.006865,0.007708,0.010029,0.013579,0.024599,0.005346,0.018545,0.044001,0.033019,0.000001,0.000008,0.000000,0.000000,0.000330,0.000000,0.000000,0.051976,0.066339,0.082748,0.104331,0.130356,0.157132,0.039769,0.194822,1.000000
10.1.10.2,0.000080,0.000000,0.000000,0.004093,0.000000,0.000000,0.000000,0.000636,0.002319,0.000000,0.006484,0.000000,0.000016,0.000333,0.001247,0.000003,0.047453,0.014582,0.019515,0.034968,0.025719,0.005515,0.007861,0.010484,0.000001,0.000037,0.000000,0.000000,0.000165,0.000007,0.000000,0.065450,0.040773,0.190759,0.156798,0.053929,0.125999,0.102588,0.082188,1.000000
