 ,10.1.1.2,10.1.2.2,10.1.3.2,10.1.4.2,10.1.5.2,10.1.6.2,10.1.7.2,10.1.8.2,10.1.9.2,10.1.10.2,10.1.11.2,10.1.13.2,10.1.14.2,10.1.15.2,10.1.16.2,10.1.17.2,10.1.18.2,10.1.19.2,10.1.20.2,10.1.21.2,10.1.22.2,10.1.23.2,10.1.24.2,10.1.25.2,10.1.26.2,10.1.27.2,10.1.28.2,10.1.29.2,10.1.30.2,10.1.31.2,10.1.32.2,10.1.33.2,10.1.34.2,10.1.35.2,10.1.36.2,10.1.37.2,10.1.38.2,10.1.39.2,10.1.40.2,Suma
10.1.1.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007981,0.000000,0.000001,0.000092,0.000011,0.000000,0.000483,0.002094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026858,0.081704,0.047523,0.015413,0.422366,0.142848,0.008523,0.244091,1.000000
10.1.2.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002125,0.000020,0.000001,0.000000,0.000000,0.000584,0.007610,0.000124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.143712,0.418749,0.083283,0.008347,0.046616,0.026213,0.014475,0.248134,1.000000
10.1.3.2,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.006060,0.000245,0.000043,0.000001,0.000001,0.000001,0.000007,0.001286,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.248053,0.023385,0.077461,0.012468,0.138032,0.006790,0.443162,0.042988,1.000000
10.1.4.2,0.000002,0.000002,0.000002,0.000000,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000008,0.000220,0.000002,0.006070,0.001192,0.000039,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.023891,0.012423,0.044256,0.433820,0.249474,0.141076,0.006392,0.081096,1.000000
10.1.5.2,0.000002,0.000002,0.000002,0.000002,0.000000,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000004,0.000141,0.004566,0.000902,0.000021,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.011469,0.251902,0.078446,0.444444,0.021619,0.006316,0.137971,0.042143,1.000000
10.1.6.2,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000052,0.000001,0.001656,0.007596,0.000001,0.000008,0.000329,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.026965,0.008223,0.014793,0.047039,0.244680,0.423223,0.082979,0.142438,1.000000
10.1.7.2,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000008,0.000439,0.007167,0.000001,0.000080,0.000001,0.001796,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.086018,0.007852,0.014236,0.047660,0.026491,0.246458,0.413909,0.147871,1.000000
10.1.8.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000021,0.000000,0.008849,0.000003,0.000121,0.000606,0.002649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017269,0.084461,0.029404,0.009330,0.145450,0.405251,0.049899,0.246682,1.000000
10.1.9.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000001,0.002439,0.009063,0.000097,0.000511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008970,0.016165,0.049707,0.084217,0.244252,0.412691,0.142767,0.029093,1.000000
10.1.10.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000068,0.000000,0.001026,0.000275,0.014541,0.000012,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.409753,0.054251,0.003866,0.086001,0.242672,0.029672,0.015812,0.142048,1.000000
10.1.11.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000362,0.018422,0.000000,0.000091,0.000002,0.000000,0.001563,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.241399,0.086801,0.005125,0.055926,0.032046,0.144877,0.018695,0.394673,1.000000
10.1.13.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000610,0.000042,0.000000,0.014303,0.000167,0.000000,0.000009,0.001952,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.051577,0.143455,0.005635,0.029052,0.016187,0.084462,0.409184,0.243365,1.000000
10.1.14.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016569,0.000012,0.004274,0.000000,0.001009,0.000002,0.000056,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016686,0.030820,0.000237,0.091631,0.055651,0.243530,0.155595,0.383926,1.000000
10.1.15.2,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.007873,0.000001,0.000001,0.000007,0.000112,0.000542,0.002170,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.142689,0.008336,0.014997,0.249300,0.026395,0.083512,0.047062,0.416990,1.000000
10.1.16.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000777,0.000000,0.002895,0.000008,0.000045,0.008576,0.000185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087786,0.051569,0.016791,0.405035,0.029872,0.242495,0.009153,0.144809,1.000000
10.1.17.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000111,0.006184,0.000427,0.001668,0.000020,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.088706,0.411768,0.051923,0.246861,0.014486,0.007429,0.143166,0.027245,1.000000
10.1.18.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000316,0.000000,0.000017,0.000075,0.005340,0.001312,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.415966,0.147091,0.043644,0.081048,0.259893,0.013399,0.006620,0.025275,1.000000
10.1.19.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000179,0.000035,0.000000,0.000000,0.000007,0.000867,0.000001,0.003299,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009114,0.143482,0.074829,0.434398,0.004393,0.273179,0.018853,0.037362,1.000000
10.1.20.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000232,0.000050,0.000011,0.000000,0.001074,0.000002,0.004892,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.474730,0.006586,0.000000,0.274962,0.014157,0.131051,0.029839,0.062413,1.000000
10.1.21.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000013,0.000000,0.000635,0.007246,0.000000,0.002319,0.000173,0.000046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.240411,0.055930,0.092325,0.031300,0.008774,0.401196,0.017068,0.142563,1.000000
10.1.22.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000019,0.006771,0.000092,0.001643,0.000000,0.000000,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.451323,0.036410,0.000414,0.072918,0.144317,0.017782,0.008751,0.259556,1.000000
10.1.23.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004907,0.000000,0.000125,0.001446,0.000008,0.000034,0.000000,0.014803,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019233,0.240270,0.000445,0.149055,0.031426,0.393287,0.091784,0.053176,1.000000
10.1.24.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000565,0.002387,0.000005,0.000145,0.000000,0.000001,0.000027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011785,0.088145,0.009630,0.157524,0.023549,0.246783,0.047118,0.412335,1.000000
10.1.25.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000425,0.000000,0.000000,0.000015,0.000091,0.000002,0.001829,0.008004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.246730,0.141447,0.014935,0.008018,0.081040,0.047885,0.027597,0.421979,1.000000
10.1.26.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002152,0.000000,0.000000,0.000032,0.000536,0.007492,0.000129,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.085787,0.404961,0.048664,0.253008,0.145814,0.027413,0.015528,0.008478,1.000000
10.1.27.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000580,0.000004,0.002249,0.000028,0.000000,0.000169,0.000000,0.008128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.386146,0.241312,0.030906,0.018821,0.054426,0.149171,0.013024,0.095028,1.000000
10.1.28.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000493,0.007715,0.000100,0.000019,0.002035,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015435,0.240978,0.088996,0.051306,0.008329,0.150270,0.028205,0.406114,1.000000
10.1.29.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000081,0.000017,0.000000,0.006002,0.000369,0.001449,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024965,0.006863,0.045794,0.013305,0.084636,0.394996,0.150697,0.270822,1.000000
10.1.30.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000053,0.000000,0.000009,0.000204,0.000719,0.002653,0.007811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.246943,0.143420,0.008623,0.087145,0.028826,0.049497,0.408080,0.016014,1.000000
10.1.31.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,0.000265,0.010114,0.000067,0.003047,0.000000,0.000865,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.241386,0.018738,0.010741,0.053262,0.032646,0.388249,0.090013,0.150590,1.000000
10.1.32.2,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000006,0.000363,0.000001,0.007126,0.000001,0.000050,0.000001,0.001606,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.246840,0.140734,0.026354,0.045291,0.081297,0.014190,0.007635,0.428484,1.000000
10.1.33.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000297,0.000012,0.000000,0.000000,0.000059,0.000000,0.000000,0.000000,0.000000,0.000000,0.001390,0.000000,0.000000,0.006933,0.002632,0.017908,0.253909,0.569473,0.104618,0.042766,1.000000
10.1.34.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000864,0.000167,0.000000,0.000000,0.000006,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000031,0.000000,0.035513,0.000000,0.013510,0.091756,0.613121,0.005068,0.002079,0.237876,1.000000
10.1.35.2,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000145,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000026,0.000000,0.000000,0.000000,0.000000,0.004198,0.620799,0.000000,0.088374,0.001387,0.239551,0.033334,0.011629,1.000000
10.1.36.2,0.000000,0.000000,0.000013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000314,0.000000,0.000000,0.000000,0.000066,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.001401,0.000000,0.043224,0.249307,0.002673,0.000000,0.017079,0.569932,0.109244,0.006745,1.000000
10.1.37.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000666,0.000000,0.000175,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000040,0.004572,0.247509,0.001587,0.035292,0.000000,0.603466,0.094021,0.012661,1.000000
10.1.38.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000047,0.000000,0.000000,0.000000,0.000000,0.000181,0.000000,0.000010,0.000000,0.000000,0.000000,0.000000,0.000002,0.000601,0.000000,0.000000,0.000000,0.611381,0.092120,0.037085,0.005321,0.001723,0.000000,0.014380,0.237148,1.000000
10.1.39.2,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000186,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000038,0.000000,0.247435,0.039062,0.015311,0.005699,0.002127,0.097210,0.000000,0.592076,1.000000
10.1.40.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000759,0.000000,0.000001,0.000205,0.000000,0.000042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001885,0.013833,0.005223,0.097228,0.252013,0.037463,0.591339,0.000000,1.000000
